time,open,high,low,close,volume
2023-03-27 16:00:00,3.915,3.92,3.85,3.88,42932
2023-03-27 15:45:00,3.9,3.92,3.9,3.92,13230
2023-03-27 15:30:00,3.9,3.91,3.885,3.9,6279
2023-03-27 15:15:00,3.905,3.905,3.89,3.9,4639
2023-03-27 15:00:00,3.925,3.93,3.9,3.9,5053
2023-03-27 14:45:00,3.91,3.94,3.91,3.93,4334
2023-03-27 14:30:00,3.94,3.945,3.91,3.92,5984
2023-03-27 14:15:00,3.935,3.95,3.93,3.945,5192
2023-03-27 14:00:00,3.93,3.94,3.92,3.935,10065
2023-03-27 13:45:00,3.91,3.93,3.91,3.93,4066
2023-03-27 13:30:00,3.88,3.92,3.88,3.91,4120
2023-03-27 13:15:00,3.885,3.895,3.88,3.88,3196
2023-03-27 13:00:00,3.915,3.915,3.88,3.88,1870
2023-03-27 12:45:00,3.95,3.95,3.92,3.92,4638
2023-03-27 12:30:00,3.935,3.95,3.93,3.95,5146
2023-03-27 12:15:00,3.89,3.925,3.89,3.925,5113
2023-03-27 12:00:00,3.8909,3.895,3.885,3.89,3962
2023-03-27 11:45:00,3.9,3.9,3.88,3.9,702
2023-03-27 11:30:00,3.915,3.92,3.91,3.91,3248
2023-03-27 11:15:00,3.92,3.93,3.91,3.92,3551
2023-03-27 11:00:00,3.92,3.95,3.92,3.92,4533
2023-03-27 10:45:00,3.955,3.965,3.91,3.91,7709
2023-03-27 10:30:00,3.93,3.97,3.92,3.955,6570
2023-03-27 10:15:00,3.9505,3.96,3.92,3.93,9760
2023-03-27 10:00:00,3.92,4.0,3.91,3.95,16753
2023-03-27 09:45:00,3.88,3.92,3.87,3.91,6607
2023-03-27 08:30:00,3.98,4.02,3.98,4.02,495
2023-03-24 16:15:00,3.83,3.83,3.83,3.83,114
2023-03-24 16:00:00,3.855,3.9,3.805,3.82,82906
2023-03-24 15:45:00,3.845,3.86,3.79,3.86,40412
2023-03-24 15:30:00,3.82,3.85,3.82,3.845,11513
2023-03-24 15:15:00,3.795,3.82,3.795,3.82,7176
2023-03-24 15:00:00,3.75,3.8,3.75,3.795,8655
2023-03-24 14:45:00,3.77,3.77,3.74,3.755,9487
2023-03-24 14:30:00,3.795,3.81,3.77,3.77,3750
2023-03-24 14:15:00,3.82,3.82,3.79,3.79,2767
2023-03-24 14:00:00,3.87,3.875,3.815,3.82,8295
2023-03-24 13:45:00,3.83,3.87,3.83,3.87,12735
2023-03-24 13:30:00,3.79,3.825,3.79,3.825,7854
2023-03-24 13:15:00,3.76,3.785,3.74,3.785,5072
2023-03-24 13:00:00,3.775,3.785,3.76,3.77,3552
2023-03-24 12:45:00,3.77,3.795,3.77,3.77,2437
2023-03-24 12:30:00,3.845,3.845,3.78,3.78,4401
2023-03-24 12:15:00,3.825,3.845,3.825,3.845,2922
2023-03-24 12:00:00,3.79,3.83,3.79,3.825,9257
2023-03-24 11:45:00,3.74,3.799,3.74,3.79,15038
2023-03-24 11:30:00,3.725,3.74,3.7,3.74,4461
2023-03-24 11:15:00,3.78,3.78,3.72,3.73,3015
