time,open,high,low,close,volume
2023-03-27 16:00:00,4.54,4.5599,4.505,4.53,19643
2023-03-27 15:45:00,4.54,4.5599,4.5301,4.54,2272
2023-03-27 15:30:00,4.475,4.55,4.4711,4.55,5871
2023-03-27 15:15:00,4.485,4.489,4.475,4.475,2863
2023-03-27 15:00:00,4.485,4.485,4.48,4.48,894
2023-03-27 14:45:00,4.47,4.48,4.47,4.48,862
2023-03-27 14:30:00,4.481,4.485,4.4801,4.485,1193
2023-03-27 14:15:00,4.485,4.5192,4.48,4.49,6916
2023-03-27 14:00:00,4.42,4.49,4.4001,4.48,11050
2023-03-27 13:45:00,4.3346,4.42,4.3346,4.42,6486
2023-03-27 13:30:00,4.3235,4.34,4.3235,4.34,403
2023-03-27 13:15:00,4.32,4.32,4.32,4.32,834
2023-03-27 13:00:00,4.29,4.3184,4.29,4.3184,611
2023-03-27 12:45:00,4.3,4.3,4.285,4.285,895
2023-03-27 12:30:00,4.31,4.31,4.3,4.3,1011
2023-03-27 12:15:00,4.31,4.31,4.3,4.3,335
2023-03-27 12:00:00,4.23,4.31,4.23,4.31,7301
2023-03-27 11:45:00,4.2211,4.2299,4.2211,4.2299,396
2023-03-27 11:30:00,4.2383,4.24,4.2383,4.24,553
2023-03-27 11:15:00,4.2476,4.2599,4.23,4.23,864
2023-03-27 11:00:00,4.25,4.27,4.22,4.23,1898
2023-03-27 10:45:00,4.25,4.25,4.2199,4.23,5106
2023-03-27 10:30:00,4.2099,4.25,4.2099,4.2452,5092
2023-03-27 10:15:00,4.1701,4.1784,4.1701,4.1784,518
2023-03-27 10:00:00,4.33,4.33,4.2,4.2,12138
2023-03-27 09:45:00,4.09,4.3299,4.025,4.32,12857
2023-03-27 07:15:00,4.15,4.15,4.15,4.15,200
2023-03-24 16:00:00,4.02,4.05,4.0,4.04,15296
2023-03-24 15:45:00,4.055,4.075,4.01,4.03,9943
2023-03-24 15:30:00,4.0084,4.05,4.0,4.0301,8722
2023-03-24 15:15:00,4.01,4.015,4.01,4.01,863
2023-03-24 15:00:00,4.05,4.05,4.0,4.01,8372
2023-03-24 14:45:00,3.9945,4.05,3.9945,4.05,3156
