time,open,high,low,close,volume
2023-03-27 19:00:00,84.19,84.19,84.19,84.19,100
2023-03-27 18:15:00,84.07,84.07,83.9,83.9,1004
2023-03-27 17:00:00,84.02,84.02,84.02,84.02,2739
2023-03-27 16:15:00,84.19,84.19,84.1,84.1,39350
2023-03-27 16:00:00,84.525,84.55,84.13,84.2,457022
2023-03-27 15:45:00,84.89,84.95,84.47,84.525,171229
2023-03-27 15:30:00,84.94,84.9754,84.665,84.89,125686
2023-03-27 15:15:00,85.385,85.63,84.91,84.95,118305
2023-03-27 15:00:00,85.04,85.405,85.0,85.37,118848
2023-03-27 14:45:00,84.91,85.2,84.9,85.03,128924
2023-03-27 14:30:00,84.5515,84.955,84.5,84.9,80432
2023-03-27 14:15:00,84.535,84.56,84.38,84.56,69849
2023-03-27 14:00:00,84.38,84.56,84.36,84.55,90375
2023-03-27 13:45:00,84.2,84.39,84.01,84.35,143505
2023-03-27 13:30:00,83.965,84.25,83.89,84.1995,50292
2023-03-27 13:15:00,84.505,84.505,83.89,83.96,53117
2023-03-27 13:00:00,84.12,84.59,84.115,84.5,123845
2023-03-27 12:45:00,83.91,84.0898,83.7692,84.0898,60684
2023-03-27 12:30:00,83.45,84.05,83.445,83.89,123594
2023-03-27 12:15:00,83.21,83.57,83.19,83.455,162867
2023-03-27 12:00:00,83.1801,83.3,83.05,83.21,72687
2023-03-27 11:45:00,83.18,83.26,82.98,83.185,102830
2023-03-27 11:30:00,83.3,83.3,82.94,83.2,108038
2023-03-27 11:15:00,83.1,83.425,82.99,83.35,90579
2023-03-27 11:00:00,82.93,83.5,82.845,83.08,145051
2023-03-27 10:45:00,83.23,83.24,82.93,82.9301,153025
2023-03-27 10:30:00,83.505,83.97,83.21,83.23,99022
2023-03-27 10:15:00,83.275,83.65,82.9,83.505,189564
2023-03-27 10:00:00,84.17,84.44,83.16,83.28,217061
2023-03-27 09:45:00,86.0,86.01,84.0,84.22,214741
2023-03-27 09:30:00,85.3,85.99,85.3,85.99,2176
2023-03-27 09:00:00,85.25,85.25,85.25,85.25,210
2023-03-27 08:45:00,85.5,85.5,85.5,85.5,100
2023-03-27 08:15:00,85.0169,85.5,85.01,85.5,1851
2023-03-27 07:45:00,85.02,85.02,85.02,85.02,5583
2023-03-27 07:30:00,85.02,85.02,85.02,85.02,200
2023-03-24 19:15:00,84.12,84.12,84.12,84.12,260
2023-03-24 17:15:00,84.0,84.0,84.0,84.0,225
2023-03-24 16:30:00,84.0,84.0,84.0,84.0,102
2023-03-24 16:15:00,83.94,83.94,83.94,83.94,69799
2023-03-24 16:00:00,83.75,83.99,83.34,83.96,452444
2023-03-24 15:45:00,83.935,84.02,83.62,83.74,130181
2023-03-24 15:30:00,83.39,84.01,83.38,83.95,140168
2023-03-24 15:15:00,83.65,83.71,83.16,83.38,97394
2023-03-24 15:00:00,83.445,83.77,83.445,83.64,123804
2023-03-24 14:45:00,83.25,83.7,83.25,83.45,193100
2023-03-24 14:30:00,83.14,83.315,82.72,83.23,118567
2023-03-24 14:15:00,82.53,83.1199,82.36,83.1,163943
2023-03-24 14:00:00,82.59,82.625,82.34,82.55,81025
2023-03-24 13:45:00,82.45,82.87,82.44,82.585,81202
2023-03-24 13:30:00,82.29,82.75,82.2,82.43,109903
2023-03-24 13:15:00,82.77,82.825,82.27,82.275,101562
2023-03-24 13:00:00,82.965,83.27,82.72,82.755,108884
2023-03-24 12:45:00,82.66,82.99,82.57,82.97,89442
2023-03-24 12:30:00,82.83,82.86,82.34,82.575,85953
2023-03-24 12:15:00,83.18,83.54,82.76,82.82,142439
2023-03-24 12:00:00,82.07,83.19,82.07,83.1699,128086
2023-03-24 11:45:00,82.02,82.08,81.58,82.03,122663
2023-03-24 11:30:00,81.877,82.29,81.615,82.01,294164
2023-03-24 11:15:00,82.73,82.7877,81.56,81.855,224747
2023-03-24 11:00:00,82.98,83.3,82.68,82.74,218686
2023-03-24 10:45:00,83.47,83.61,82.8,82.96,152623
2023-03-24 10:30:00,83.3,83.44,82.47,83.43,189801
2023-03-24 10:15:00,82.025,83.6,81.95,83.36,262453
2023-03-24 10:00:00,81.54,82.05,80.79,82.01,477147
2023-03-24 09:45:00,82.07,82.46,81.17,81.6,587316
2023-03-24 09:30:00,83.25,83.25,81.92,81.92,3417
2023-03-24 09:15:00,83.94,83.94,83.94,83.94,200
2023-03-24 09:00:00,83.44,83.99,83.44,83.94,2392
2023-03-24 08:45:00,82.95,83.1,82.95,83.08,882
2023-03-24 08:15:00,83.0004,83.5,82.89,82.9,1666
2023-03-24 08:00:00,83.3,83.3,83.3,83.3,125
2023-03-23 18:45:00,84.61,84.61,84.61,84.61,206
2023-03-23 18:30:00,84.61,84.61,84.61,84.61,100
2023-03-23 17:45:00,84.61,84.61,84.61,84.61,100
2023-03-23 16:30:00,84.45,84.45,84.45,84.45,35785
2023-03-23 16:15:00,84.45,84.45,84.4,84.4,20367
2023-03-23 16:00:00,83.92,84.65,83.92,84.45,588659
2023-03-23 15:45:00,83.72,84.16,83.545,83.95,211723
2023-03-23 15:30:00,84.0,84.14,83.26,83.75,147797
2023-03-23 15:15:00,83.86,84.66,83.84,84.03,210700
2023-03-23 15:00:00,83.78,84.01,83.36,83.83,322422
2023-03-23 14:45:00,84.23,84.48,83.71,83.77,269757
2023-03-23 14:30:00,85.06,85.07,84.22,84.22,133383
2023-03-23 14:15:00,85.41,85.51,84.902,85.095,151554
2023-03-23 14:00:00,86.145,86.16,85.21,85.395,216390
2023-03-23 13:45:00,85.99,86.29,85.94,86.155,100568
2023-03-23 13:30:00,85.84,86.28,85.74,86.02,107070
2023-03-23 13:15:00,86.39,86.51,85.83,85.83,157484
2023-03-23 13:00:00,86.2,86.41,85.85,86.41,104353
2023-03-23 12:45:00,86.72,86.75,86.16,86.21,85424
