time,open,high,low,close,volume
2023-03-27 16:00:00,3.14,3.15,3.13,3.14,36470
2023-03-27 15:45:00,3.14,3.15,3.135,3.14,12514
2023-03-27 15:30:00,3.14,3.15,3.135,3.14,18961
2023-03-27 15:15:00,3.14,3.145,3.14,3.14,1308
2023-03-27 15:00:00,3.12,3.15,3.12,3.14,7889
2023-03-27 14:45:00,3.14,3.16,3.12,3.12,23872
2023-03-27 14:30:00,3.135,3.145,3.1325,3.145,3185
2023-03-27 14:15:00,3.14,3.14,3.13,3.13,7539
2023-03-27 14:00:00,3.14,3.145,3.14,3.14,4540
2023-03-27 13:45:00,3.15,3.16,3.135,3.135,8562
2023-03-27 13:30:00,3.18,3.18,3.15,3.155,3256
2023-03-27 13:15:00,3.16,3.17,3.1525,3.17,3360
2023-03-27 13:00:00,3.15,3.17,3.15,3.16,7237
2023-03-27 12:45:00,3.15,3.1668,3.15,3.15,1852
2023-03-27 12:30:00,3.12,3.16,3.11,3.155,3798
2023-03-27 12:15:00,3.12,3.12,3.11,3.11,2034
2023-03-27 12:00:00,3.11,3.13,3.1,3.12,17174
2023-03-27 11:45:00,3.12,3.14,3.12,3.12,5791
2023-03-27 11:30:00,3.12,3.145,3.115,3.13,28564
2023-03-27 11:15:00,3.149,3.149,3.095,3.12,39881
2023-03-27 11:00:00,3.12,3.155,3.12,3.145,10835
2023-03-27 10:45:00,3.11,3.13,3.11,3.12,21962
2023-03-27 10:30:00,3.125,3.15,3.11,3.11,24754
2023-03-27 10:15:00,3.12,3.155,3.12,3.125,6107
2023-03-27 10:00:00,3.12,3.14,3.12,3.125,3268
2023-03-27 09:45:00,3.17,3.21,3.11,3.122,6390
2023-03-24 16:00:00,3.21,3.22,3.16,3.16,50714
2023-03-24 15:45:00,3.28,3.28,3.205,3.21,19482
2023-03-24 15:30:00,3.285,3.285,3.22,3.27,13171
2023-03-24 15:15:00,3.18,3.285,3.18,3.285,16870
2023-03-24 15:00:00,3.2,3.204,3.18,3.19,6050
2023-03-24 14:45:00,3.17,3.2,3.16,3.195,6667
2023-03-24 14:30:00,3.16,3.185,3.16,3.17,5801
2023-03-24 14:15:00,3.18,3.19,3.15,3.155,3709
2023-03-24 14:00:00,3.16,3.18,3.15,3.18,2601
2023-03-24 13:45:00,3.17,3.18,3.1578,3.17,6329
2023-03-24 13:30:00,3.175,3.18,3.15,3.18,6897
2023-03-24 13:15:00,3.18,3.185,3.17,3.175,4126
2023-03-24 13:00:00,3.15,3.185,3.15,3.185,5896
2023-03-24 12:45:00,3.16,3.17,3.14,3.15,13894
2023-03-24 12:30:00,3.19,3.19,3.15,3.155,9336
2023-03-24 12:15:00,3.19,3.22,3.18,3.18,4163
2023-03-24 12:00:00,3.16,3.19,3.12,3.19,9733
2023-03-24 11:45:00,3.12,3.15,3.12,3.15,2888
2023-03-24 11:30:00,3.11,3.12,3.1,3.12,3243
2023-03-24 11:15:00,3.1,3.14,3.09,3.09,5552
2023-03-24 11:00:00,3.07,3.13,3.07,3.12,8529
2023-03-24 10:45:00,3.0325,3.09,3.0325,3.08,9875
2023-03-24 10:30:00,3.08,3.095,2.99,3.025,19852
2023-03-24 10:15:00,3.11,3.14,3.09,3.095,8776
2023-03-24 10:00:00,3.14,3.16,3.135,3.135,889
2023-03-24 09:45:00,3.12,3.13,3.12,3.13,824
2023-03-23 16:00:00,3.125,3.16,3.12,3.14,26149
2023-03-23 15:45:00,3.11,3.13,3.11,3.13,4350
2023-03-23 15:30:00,3.12,3.12,3.1,3.12,4160
2023-03-23 15:15:00,3.13,3.14,3.115,3.125,3507
2023-03-23 15:00:00,3.125,3.13,3.11,3.12,3616
2023-03-23 14:45:00,3.125,3.13,3.12,3.12,680
2023-03-23 14:30:00,3.148,3.15,3.13,3.138,3548
2023-03-23 14:15:00,3.16,3.17,3.14,3.14,4185
2023-03-23 14:00:00,3.15,3.16,3.14,3.16,3030
2023-03-23 13:45:00,3.14,3.16,3.135,3.15,5996
2023-03-23 13:30:00,3.17,3.17,3.13,3.14,6392
2023-03-23 13:15:00,3.16,3.18,3.16,3.17,2857
2023-03-23 13:00:00,3.16,3.16,3.15,3.16,2588
2023-03-23 12:45:00,3.18,3.18,3.15,3.16,5571
2023-03-23 12:30:00,3.185,3.19,3.18,3.19,1614
2023-03-23 12:15:00,3.1673,3.18,3.15,3.18,6490
2023-03-23 12:00:00,3.18,3.2,3.16,3.17,6774
2023-03-23 11:45:00,3.18,3.18,3.15,3.165,5908
2023-03-23 11:30:00,3.2,3.205,3.17,3.17,5650
2023-03-23 11:15:00,3.2,3.2,3.18,3.185,4170
2023-03-23 11:00:00,3.15,3.19,3.14,3.19,6541
2023-03-23 10:45:00,3.14,3.1627,3.14,3.15,4901
2023-03-23 10:30:00,3.16,3.18,3.12,3.15,15175
2023-03-23 10:15:00,3.215,3.215,3.15,3.16,7459
2023-03-23 10:00:00,3.195,3.23,3.195,3.23,883
2023-03-23 09:45:00,3.17,3.21,3.16,3.195,5328
2023-03-22 19:15:00,3.2,3.2,3.2,3.2,210
2023-03-22 16:00:00,3.15,3.15,3.12,3.13,28408
2023-03-22 15:45:00,3.205,3.205,3.13,3.16,22708
2023-03-22 15:30:00,3.2,3.21,3.18,3.2,17205
2023-03-22 15:15:00,3.21,3.21,3.17,3.195,5454
2023-03-22 15:00:00,3.23,3.23,3.21,3.21,7001
2023-03-22 14:45:00,3.22,3.236,3.19,3.23,7778
2023-03-22 14:30:00,3.195,3.23,3.195,3.23,5203
2023-03-22 14:15:00,3.23,3.24,3.2,3.2,10123
2023-03-22 14:00:00,3.245,3.245,3.22,3.225,9572
2023-03-22 13:45:00,3.23,3.25,3.21,3.25,11045
2023-03-22 13:30:00,3.24,3.24,3.2086,3.23,7563
2023-03-22 13:15:00,3.2173,3.23,3.21,3.23,5829
2023-03-22 13:00:00,3.23,3.2475,3.2,3.21,8097
2023-03-22 12:45:00,3.205,3.23,3.205,3.23,4953
2023-03-22 12:30:00,3.205,3.22,3.205,3.205,718
2023-03-22 12:15:00,3.19,3.21,3.18,3.21,8992
2023-03-22 12:00:00,3.19,3.19,3.17,3.19,4821
2023-03-22 11:45:00,3.18,3.19,3.17,3.19,4782
2023-03-22 11:30:00,3.125,3.19,3.125,3.17,10036
2023-03-22 11:15:00,3.135,3.135,3.125,3.125,889
2023-03-22 11:00:00,3.15,3.15,3.115,3.13,9579
2023-03-22 10:45:00,3.1916,3.192,3.15,3.15,8759
2023-03-22 10:30:00,3.195,3.22,3.18,3.19,7506
2023-03-22 10:15:00,3.1999,3.21,3.19,3.195,2050
2023-03-22 10:00:00,3.175,3.23,3.175,3.195,3063
2023-03-22 09:45:00,3.25,3.25,3.15,3.17,1992
2023-03-21 16:00:00,3.2115,3.23,3.21,3.225,44658
2023-03-21 15:45:00,3.22,3.225,3.2,3.21,19914
2023-03-21 15:30:00,3.21,3.21,3.19,3.21,5085
2023-03-21 15:15:00,3.19,3.21,3.18,3.2,9565
2023-03-21 15:00:00,3.18,3.19,3.17,3.185,4559
2023-03-21 14:45:00,3.14,3.18,3.14,3.18,4317
2023-03-21 14:30:00,3.16,3.17,3.13,3.14,12176
2023-03-21 14:15:00,3.17,3.17,3.155,3.16,4641
2023-03-21 14:00:00,3.152,3.165,3.14,3.16,8916
2023-03-21 13:45:00,3.17,3.17,3.16,3.1627,6659
2023-03-21 13:30:00,3.18,3.1866,3.17,3.17,6672
2023-03-21 13:15:00,3.16,3.165,3.15,3.16,6612
2023-03-21 13:00:00,3.14,3.18,3.14,3.17,2147
2023-03-21 12:45:00,3.165,3.165,3.11,3.148,17227
2023-03-21 12:30:00,3.12,3.14,3.12,3.13,4493
2023-03-21 12:15:00,3.19,3.19,3.11,3.11,31029
2023-03-21 12:00:00,3.19,3.1986,3.13,3.19,8509
2023-03-21 11:45:00,3.1885,3.19,3.18,3.19,1688
2023-03-21 11:30:00,3.17,3.2,3.15,3.195,8596
2023-03-21 11:15:00,3.152,3.17,3.145,3.17,10949
2023-03-21 11:00:00,3.155,3.17,3.15,3.165,6407
2023-03-21 10:45:00,3.16,3.165,3.11,3.15,20728
2023-03-21 10:30:00,3.17,3.21,3.11,3.17,12613
2023-03-21 10:15:00,3.19,3.19,3.16,3.18,9572
2023-03-21 10:00:00,3.28,3.29,3.18,3.1967,20942
2023-03-21 09:45:00,3.23,3.28,3.15,3.28,4475
2023-03-20 17:30:00,3.38,3.38,3.38,3.38,1100
2023-03-20 17:15:00,3.39,3.39,3.39,3.39,100
2023-03-20 16:00:00,3.185,3.215,3.17,3.2,54580
2023-03-20 15:45:00,3.19,3.19,3.18,3.185,7992
2023-03-20 15:30:00,3.19,3.2,3.17,3.2,19794
2023-03-20 15:15:00,3.22,3.22,3.18,3.19,12019
2023-03-20 15:00:00,3.215,3.23,3.2,3.23,9470
2023-03-20 14:45:00,3.22,3.22,3.21,3.215,5709
2023-03-20 14:30:00,3.195,3.24,3.195,3.23,10942
2023-03-20 14:15:00,3.16,3.205,3.15,3.195,13496
2023-03-20 14:00:00,3.15,3.16,3.14,3.15,3381
2023-03-20 13:45:00,3.135,3.1868,3.13,3.145,10155
2023-03-20 13:30:00,3.125,3.19,3.125,3.155,13548
2023-03-20 13:15:00,3.1101,3.15,3.11,3.125,9049
2023-03-20 13:00:00,3.185,3.185,3.11,3.11,17496
2023-03-20 12:45:00,3.26,3.26,3.185,3.185,6340
2023-03-20 12:30:00,3.22,3.285,3.22,3.26,20004
2023-03-20 12:15:00,3.325,3.325,3.23,3.23,8411
2023-03-20 12:00:00,3.35,3.35,3.32,3.32,4528
2023-03-20 11:45:00,3.3535,3.3535,3.35,3.35,982
2023-03-20 11:30:00,3.345,3.3627,3.345,3.36,4358
2023-03-20 11:15:00,3.33,3.3427,3.32,3.338,13912
2023-03-20 11:00:00,3.3301,3.3301,3.325,3.33,3355
2023-03-20 10:45:00,3.32,3.372,3.31,3.33,17146
2023-03-20 10:30:00,3.31,3.33,3.28,3.33,2266
2023-03-20 10:15:00,3.32,3.334,3.28,3.3,5536
2023-03-20 10:00:00,3.39,3.395,3.34,3.34,6731
2023-03-20 09:45:00,3.4,3.42,3.3,3.415,5787
2023-03-17 16:15:00,3.4,3.59,3.4,3.59,409
2023-03-17 16:00:00,3.31,3.41,3.29,3.38,169482
