time,open,high,low,close,volume
2023-03-24 17:30:00,0.7545,0.7545,0.7545,0.7545,1000
2023-03-24 16:00:00,0.7465,0.7544,0.74,0.7489,13472
2023-03-24 15:45:00,0.7401,0.7474,0.74,0.7456,5428
2023-03-24 15:30:00,0.7439,0.7477,0.7439,0.74685,591
2023-03-24 15:15:00,0.74395,0.74395,0.742668,0.742668,615
2023-03-24 15:00:00,0.74,0.747,0.74,0.7401,5200
2023-03-24 14:45:00,0.7401,0.7479,0.74,0.7479,2735
2023-03-24 14:30:00,0.74705,0.74705,0.74,0.74,1259
2023-03-24 14:00:00,0.7332,0.7481,0.7332,0.7481,300
2023-03-24 13:45:00,0.74715,0.7482,0.74,0.74,5256
2023-03-24 13:30:00,0.7462,0.7482,0.7461,0.7461,8197
2023-03-24 13:15:00,0.7456,0.7482,0.7401,0.7482,13570
2023-03-24 13:00:00,0.7457,0.7457,0.7433,0.7433,1100
2023-03-24 12:45:00,0.7429,0.7429,0.74,0.7429,400
2023-03-24 12:30:00,0.742951,0.7458,0.74,0.7458,700
2023-03-24 12:15:00,0.7433,0.7459,0.74,0.74,6800
2023-03-24 12:00:00,0.7455,0.7455,0.7306,0.74,14265
2023-03-24 11:45:00,0.74745,0.747999,0.7445,0.74625,5375
2023-03-24 11:30:00,0.74755,0.74755,0.74755,0.74755,100
2023-03-24 11:15:00,0.7498,0.756,0.74,0.74815,2340
2023-03-24 11:00:00,0.7347,0.7347,0.7347,0.7347,200
2023-03-24 10:45:00,0.7348,0.7463,0.733201,0.733201,10787
2023-03-24 10:30:00,0.74625,0.7463,0.7457,0.7463,510
2023-03-24 10:15:00,0.732701,0.7331,0.732701,0.7331,1200
2023-03-24 10:00:00,0.7525,0.76995,0.74,0.74,7530
2023-03-24 09:45:00,0.7867,0.79,0.76,0.76,97079
2023-03-24 09:30:00,0.7774,0.7867,0.7774,0.7867,400
2023-03-24 07:30:00,0.79,0.7927,0.79,0.7927,495
2023-03-23 17:30:00,0.755,0.755,0.725,0.725,600
2023-03-23 16:15:00,0.73,0.73,0.73,0.73,100
2023-03-23 16:00:00,0.7385,0.7499,0.7381,0.747,30724
2023-03-23 15:45:00,0.7383,0.74,0.7365,0.7381,4503
2023-03-23 15:30:00,0.7382,0.74,0.7382,0.73825,2422
2023-03-23 15:15:00,0.7365,0.7399,0.73335,0.7382,4033
2023-03-23 15:00:00,0.7365,0.7365,0.73335,0.73335,2862
2023-03-23 14:45:00,0.73815,0.73815,0.736,0.7365,1016
2023-03-23 14:30:00,0.7365,0.7398,0.7365,0.7398,2004
2023-03-23 14:15:00,0.7386,0.7402,0.737,0.7382,5526
2023-03-23 14:00:00,0.7401,0.7402,0.737,0.7402,527
2023-03-23 13:45:00,0.73695,0.7401,0.73695,0.7388,520
2023-03-23 13:30:00,0.7369,0.7369,0.7337,0.7337,200
2023-03-23 13:15:00,0.7369,0.7402,0.7369,0.74,3393
2023-03-23 13:00:00,0.74,0.7401,0.7337,0.7337,9400
2023-03-23 12:45:00,0.7309,0.7355,0.7309,0.7355,520
2023-03-23 12:30:00,0.7499,0.7499,0.7397,0.7397,5261
2023-03-23 12:15:00,0.7451,0.7499,0.7403,0.7499,1203
2023-03-23 12:00:00,0.7426,0.7426,0.73,0.736,3498
2023-03-23 11:45:00,0.740618,0.745,0.740618,0.745,1100
2023-03-23 11:30:00,0.7385,0.7452,0.7385,0.745,2637
2023-03-23 11:15:00,0.7377,0.7452,0.7302,0.73785,1903
2023-03-23 11:00:00,0.7377,0.7377,0.730201,0.730201,602
2023-03-23 10:45:00,0.729899,0.73,0.7206,0.729796,9042
2023-03-23 10:30:00,0.7299,0.7299,0.7206,0.7206,12449
2023-03-23 10:15:00,0.736039,0.736039,0.7202,0.7203,2211
2023-03-23 10:00:00,0.7303,0.7303,0.72,0.730099,19913
2023-03-23 09:45:00,0.7303,0.75,0.7303,0.7401,4325
2023-03-23 08:30:00,0.78,0.78,0.78,0.78,477
2023-03-22 20:00:00,0.715,0.715,0.715,0.715,506
2023-03-22 19:45:00,0.7512,0.7512,0.7512,0.7512,900
2023-03-22 16:00:00,0.745,0.75,0.7227,0.7229,18024
2023-03-22 15:45:00,0.747525,0.75,0.74,0.7425,6904
2023-03-22 15:30:00,0.7425,0.747525,0.7401,0.747525,2188
2023-03-22 15:15:00,0.75,0.75,0.735,0.7425,1907
2023-03-22 15:00:00,0.7399,0.747,0.7351,0.7425,17293
2023-03-22 14:45:00,0.7352,0.7399,0.7352,0.7399,1720
2023-03-22 14:30:00,0.7305,0.74,0.7304,0.7304,1280
2023-03-22 14:15:00,0.74,0.74,0.7352,0.74,2228
2023-03-22 14:00:00,0.74,0.74,0.74,0.74,1227
2023-03-22 13:45:00,0.74,0.74,0.7351,0.7351,5136
2023-03-22 13:30:00,0.7274,0.7391,0.7248,0.7391,7476
2023-03-22 13:15:00,0.73,0.73,0.7248,0.7248,1617
2023-03-22 13:00:00,0.73,0.73,0.7208,0.7299,2199
2023-03-22 12:45:00,0.7207,0.73,0.7206,0.7253,10343
2023-03-22 12:30:00,0.726225,0.726225,0.726225,0.726225,100
2023-03-22 12:15:00,0.726225,0.726225,0.726225,0.726225,197
2023-03-22 12:00:00,0.7295,0.7295,0.720601,0.720601,2880
2023-03-22 11:45:00,0.7204,0.7204,0.7204,0.7204,240
2023-03-22 11:30:00,0.7294,0.7294,0.7201,0.7201,1021
2023-03-22 11:15:00,0.7124,0.7225,0.7124,0.7151,9583
2023-03-22 11:00:00,0.7225,0.7299,0.7124,0.7124,14045
2023-03-22 10:45:00,0.7298,0.7298,0.7298,0.7298,2328
2023-03-22 10:30:00,0.72,0.7298,0.7102,0.7298,1906
2023-03-22 10:00:00,0.7297,0.7297,0.7297,0.7297,413
2023-03-22 09:45:00,0.73,0.737,0.71,0.7201,20905
2023-03-22 09:00:00,0.71,0.71,0.71,0.71,100
2023-03-22 08:00:00,0.71,0.71,0.71,0.71,251
2023-03-22 07:15:00,0.71,0.71,0.71,0.71,100
2023-03-21 16:45:00,0.703,0.703,0.7,0.7,220
2023-03-21 16:30:00,0.74,0.7512,0.74,0.7512,400
2023-03-21 16:15:00,0.74,0.74,0.74,0.74,100
2023-03-21 16:00:00,0.712,0.73,0.71,0.729,76719
2023-03-21 15:45:00,0.712,0.712,0.71,0.71,1642
2023-03-21 15:30:00,0.7124,0.7194,0.71,0.7111,9389
2023-03-21 15:15:00,0.7194,0.7194,0.7124,0.7124,607
2023-03-21 15:00:00,0.719,0.7199,0.7122,0.7194,1083
2023-03-21 14:45:00,0.712,0.72,0.712,0.7194,4947
2023-03-21 14:30:00,0.7101,0.712,0.7101,0.7101,577
2023-03-21 14:15:00,0.712,0.712,0.7101,0.7101,2434
2023-03-21 14:00:00,0.7118,0.7134,0.7102,0.712,4212
2023-03-21 13:45:00,0.7134,0.7134,0.7133,0.7133,413
2023-03-21 13:30:00,0.7075,0.7117,0.7071,0.7117,7778
2023-03-21 13:15:00,0.70725,0.7075,0.7069,0.7071,5990
2023-03-21 13:00:00,0.7063,0.7073,0.7063,0.707,7194
2023-03-21 12:45:00,0.7085,0.7118,0.7051,0.7063,8698
2023-03-21 12:30:00,0.71475,0.71475,0.7084,0.7084,4171
2023-03-21 12:15:00,0.71495,0.7166,0.7125,0.71475,4138
2023-03-21 12:00:00,0.7125,0.7132,0.71225,0.7132,600
2023-03-21 11:45:00,0.7021,0.7065,0.7,0.7065,240217
2023-03-21 11:30:00,0.7014,0.7027,0.701,0.70235,5938
2023-03-21 11:15:00,0.7015,0.7078,0.7002,0.702,15624
2023-03-21 11:00:00,0.7015,0.70895,0.7015,0.7015,11890
2023-03-21 10:45:00,0.7138,0.7138,0.7014,0.7015,5000
2023-03-21 10:30:00,0.7236,0.7236,0.706,0.7112,3078
2023-03-21 10:15:00,0.728,0.728,0.7062,0.7149,3064
2023-03-21 10:00:00,0.7012,0.7012,0.7012,0.7012,300
2023-03-21 09:45:00,0.725,0.7282,0.701,0.7197,39904
2023-03-21 09:00:00,0.72,0.72,0.71,0.71,503
2023-03-21 08:30:00,0.7166,0.7166,0.7166,0.7166,100
2023-03-21 08:15:00,0.704,0.704,0.701,0.701,5745
2023-03-20 18:30:00,0.7025,0.7025,0.7025,0.7025,275
2023-03-20 16:00:00,0.7102,0.7142,0.701,0.7012,21842
2023-03-20 15:45:00,0.71165,0.71165,0.7025,0.71,11873
2023-03-20 15:30:00,0.706,0.71,0.706,0.71,6568
2023-03-20 15:15:00,0.71,0.711,0.702,0.706,6928
2023-03-20 15:00:00,0.703,0.70835,0.701,0.701,7357
2023-03-20 14:45:00,0.7023,0.7042,0.7022,0.703,5778
2023-03-20 14:30:00,0.703,0.7042,0.7021,0.7021,8838
2023-03-20 14:15:00,0.7015,0.704,0.7015,0.7035,5380
2023-03-20 14:00:00,0.704,0.7066,0.7015,0.7021,3540
2023-03-20 13:45:00,0.7017,0.706124,0.7017,0.706124,935
2023-03-20 13:30:00,0.71,0.71,0.7013,0.706,31440
2023-03-20 13:15:00,0.7101,0.71285,0.705,0.71285,8099
2023-03-20 13:00:00,0.7102,0.7102,0.705,0.71,21430
2023-03-20 12:45:00,0.7155,0.7157,0.7155,0.7157,200
2023-03-20 12:30:00,0.715,0.715599,0.7149,0.7151,22248
2023-03-20 12:15:00,0.715,0.7155,0.71,0.715,11748
2023-03-20 12:00:00,0.71,0.714899,0.71,0.71,2503
2023-03-20 11:45:00,0.72,0.720003,0.71,0.71,46891
2023-03-20 11:30:00,0.72,0.7201,0.72,0.72,7670
2023-03-20 11:15:00,0.72,0.7201,0.72,0.72,7635
2023-03-20 11:00:00,0.723,0.7265,0.72,0.7201,4348
2023-03-20 10:45:00,0.7227,0.7233,0.72,0.723,6347
2023-03-20 10:30:00,0.7101,0.72,0.71,0.72,611
2023-03-20 10:15:00,0.7102,0.7269,0.7013,0.7269,19385
2023-03-20 10:00:00,0.7333,0.7386,0.71,0.71,17448
2023-03-20 09:45:00,0.728,0.7385,0.728,0.728,16730
2023-03-20 09:30:00,0.7385,0.7385,0.708,0.709,850
2023-03-20 09:15:00,0.736,0.736,0.736,0.736,285
2023-03-20 09:00:00,0.73,0.74,0.71,0.71,3350
2023-03-20 08:30:00,0.71,0.71,0.71,0.71,150
2023-03-17 20:00:00,0.71,0.71,0.71,0.71,500
2023-03-17 19:15:00,0.701,0.701,0.701,0.701,125
2023-03-17 19:00:00,0.7022,0.7022,0.701,0.701,1100
2023-03-17 18:45:00,0.72,0.72,0.705,0.705,1300
2023-03-17 18:15:00,0.705,0.705,0.705,0.705,540
2023-03-17 18:00:00,0.701,0.701,0.701,0.701,200
2023-03-17 16:15:00,0.729,0.729,0.729,0.729,170
2023-03-17 16:00:00,0.7294,0.739,0.72731,0.7327,41081
2023-03-17 15:45:00,0.725,0.7389,0.725,0.7294,10434
2023-03-17 15:30:00,0.726501,0.7399,0.726501,0.7399,3500
2023-03-17 15:15:00,0.7269,0.7299,0.725,0.725,14794
