time,open,high,low,close,volume
2023-03-24 16:00:00,1.395,1.4,1.38,1.38,15991
2023-03-24 15:45:00,1.4,1.415,1.395,1.395,20230
2023-03-24 15:30:00,1.395,1.405,1.39,1.395,7792
2023-03-24 15:15:00,1.385,1.395,1.385,1.395,1431
2023-03-24 15:00:00,1.385,1.39,1.38,1.38,1564
2023-03-24 14:45:00,1.395,1.3998,1.382,1.385,3289
2023-03-24 14:30:00,1.39,1.41,1.385,1.395,14659
2023-03-24 14:15:00,1.3876,1.39,1.38,1.39,4537
2023-03-24 14:00:00,1.38,1.39,1.38,1.385,2767
2023-03-24 13:45:00,1.37,1.38,1.37,1.38,4096
2023-03-24 13:30:00,1.3706,1.3799,1.37,1.37,1756
2023-03-24 13:15:00,1.375,1.3799,1.37,1.37,3299
2023-03-24 13:00:00,1.375,1.375,1.37,1.37,2512
2023-03-24 12:45:00,1.36,1.375,1.36,1.375,4512
2023-03-24 12:30:00,1.375,1.375,1.355,1.365,8615
2023-03-24 12:15:00,1.375,1.375,1.37,1.37,426
2023-03-24 12:00:00,1.3509,1.375,1.3509,1.375,3570
2023-03-24 11:45:00,1.35,1.36,1.35,1.35,7176
2023-03-24 11:30:00,1.365,1.365,1.35,1.355,3310
2023-03-24 11:15:00,1.37,1.37,1.365,1.365,856
2023-03-24 11:00:00,1.3783,1.3783,1.37,1.37,937
2023-03-24 10:45:00,1.3701,1.3725,1.37,1.37,903
2023-03-24 10:30:00,1.37,1.375,1.37,1.375,385
2023-03-24 10:15:00,1.3898,1.3898,1.36,1.3696,9487
2023-03-24 10:00:00,1.38,1.38,1.35,1.3799,24467
2023-03-24 09:45:00,1.38,1.385,1.37,1.385,6814
2023-03-23 17:15:00,1.36,1.36,1.36,1.36,2129
2023-03-23 17:00:00,1.38,1.38,1.38,1.38,500
2023-03-23 16:00:00,1.39,1.4,1.385,1.39,16361
2023-03-23 15:45:00,1.375,1.39,1.375,1.39,8654
2023-03-23 15:30:00,1.385,1.39,1.375,1.38,1626
2023-03-23 15:15:00,1.36,1.39,1.36,1.385,19287
2023-03-23 15:00:00,1.36,1.365,1.35,1.355,10138
2023-03-23 14:45:00,1.365,1.365,1.36,1.365,3190
2023-03-23 14:30:00,1.37,1.37,1.36,1.365,5675
2023-03-23 14:15:00,1.37,1.375,1.365,1.37,6989
2023-03-23 14:00:00,1.37,1.378,1.37,1.375,3839
2023-03-23 13:45:00,1.3699,1.3799,1.365,1.375,2355
2023-03-23 13:30:00,1.37,1.375,1.36,1.36,4098
2023-03-23 13:15:00,1.37,1.37,1.36,1.37,6802
2023-03-23 13:00:00,1.375,1.375,1.37,1.375,6734
2023-03-23 12:45:00,1.3876,1.3876,1.37,1.37,11223
2023-03-23 12:30:00,1.385,1.3897,1.38,1.38,8992
2023-03-23 12:15:00,1.39,1.39,1.3801,1.3839,962
2023-03-23 12:00:00,1.4,1.4,1.39,1.39,3135
2023-03-23 11:45:00,1.42,1.42,1.4,1.4,19577
2023-03-23 11:30:00,1.42,1.42,1.41,1.415,1771
2023-03-23 11:15:00,1.42,1.43,1.42,1.42,3898
2023-03-23 11:00:00,1.43,1.435,1.415,1.415,12382
2023-03-23 10:45:00,1.42,1.43,1.415,1.43,2618
2023-03-23 10:30:00,1.43,1.43,1.42,1.42,10871
2023-03-23 10:15:00,1.43,1.43,1.425,1.43,5566
2023-03-23 10:00:00,1.4097,1.425,1.4097,1.42,12997
