time,open,high,low,close,volume
2023-03-27 16:00:00,22.335,22.57,22.175,22.57,8447
2023-03-27 15:45:00,22.38,22.42,22.32,22.335,3671
2023-03-27 15:30:00,22.5,22.5,22.205,22.35,3739
2023-03-27 15:15:00,22.355,22.4,22.35,22.35,1686
2023-03-27 15:00:00,22.44,22.5,22.37,22.37,2230
2023-03-27 14:45:00,22.43,22.55,22.41,22.5,5863
2023-03-27 14:30:00,22.52,22.65,22.37,22.435,4338
2023-03-27 14:15:00,22.38,22.5,22.38,22.48,1137
2023-03-27 14:00:00,22.5,22.675,22.42,22.44,3771
2023-03-27 13:45:00,22.44,22.505,22.44,22.5,990
2023-03-27 13:30:00,22.4999,22.58,22.4,22.5,3940
2023-03-27 13:15:00,22.45,22.6,22.345,22.4,2943
2023-03-27 13:00:00,22.45,22.6163,22.23,22.6133,4712
2023-03-27 12:45:00,22.4,22.68,22.37,22.5,3768
2023-03-27 12:30:00,22.22,22.37,22.195,22.305,1995
2023-03-27 12:15:00,22.37,22.37,22.15,22.21,2754
2023-03-27 11:45:00,22.47,22.5125,22.175,22.175,2004
2023-03-27 11:30:00,22.12,22.505,22.12,22.505,1956
2023-03-27 11:15:00,22.44,22.44,22.07,22.07,1162
2023-03-27 11:00:00,22.43,22.555,22.43,22.555,1057
2023-03-27 10:45:00,22.44,22.44,22.44,22.44,102
2023-03-27 10:30:00,22.5,22.5,22.25,22.25,654
2023-03-27 10:15:00,22.99,22.99,22.02,22.02,4682
2023-03-27 10:00:00,22.89,22.99,22.19,22.83,3513
2023-03-27 09:45:00,22.78,22.78,22.0001,22.44,5966
2023-03-24 16:00:00,22.55,22.83,22.43,22.83,14126
2023-03-24 15:45:00,22.55,22.58,22.55,22.58,968
2023-03-24 15:30:00,22.4,22.4,22.4,22.4,752
2023-03-24 15:15:00,22.285,22.285,22.27,22.27,551
2023-03-24 14:45:00,22.51,22.66,22.35,22.66,758
2023-03-24 14:30:00,22.423,22.7,22.423,22.7,512
2023-03-24 14:15:00,22.425,22.5,22.16,22.3,2979
2023-03-24 14:00:00,22.365,22.365,22.365,22.365,100
2023-03-24 13:45:00,22.43,22.43,22.42,22.42,822
2023-03-24 13:30:00,22.87,22.87,22.49,22.515,3666
2023-03-24 13:15:00,22.87,22.87,22.74,22.74,301
2023-03-24 13:00:00,22.659,22.85,22.62,22.62,4663
2023-03-24 12:45:00,22.505,22.8685,22.505,22.69,1311
2023-03-24 12:30:00,22.65,22.65,22.65,22.65,445
2023-03-24 12:15:00,22.58,22.588,22.48,22.48,1626
2023-03-24 12:00:00,22.65,22.7,22.5,22.5,1530
2023-03-24 11:45:00,22.5,22.91,22.47,22.57,3529
2023-03-24 11:30:00,22.54,22.54,22.2281,22.2281,214
2023-03-24 11:15:00,22.68,22.7,22.325,22.325,1221
2023-03-24 11:00:00,22.31,22.67,22.31,22.465,1465
2023-03-24 10:45:00,22.8194,22.8194,22.8194,22.8194,200
2023-03-24 10:30:00,22.1525,22.56,22.1525,22.33,851
2023-03-24 10:15:00,22.65,22.67,22.34,22.47,1175
2023-03-24 10:00:00,22.76,22.76,22.7,22.7,2580
2023-03-24 09:45:00,23.13,23.13,22.33,23.0,11840
2023-03-24 09:30:00,22.99,22.99,22.99,22.99,100
2023-03-24 08:15:00,23.0,23.0,22.9868,22.9868,1008
2023-03-24 07:30:00,23.0,23.0,23.0,23.0,102
2023-03-24 07:15:00,26.61,26.61,22.88,22.88,1646
2023-03-24 05:30:00,26.19,28.89,26.19,28.89,1157
2023-03-24 04:45:00,26.1,28.97,26.1,28.97,298
2023-03-24 04:30:00,27.05,27.05,27.05,27.05,337
2023-03-24 04:15:00,26.87,27.05,26.87,27.05,696
2023-03-23 17:00:00,23.25,23.25,23.25,23.25,400
2023-03-23 16:15:00,24.25,24.25,24.25,24.25,451
2023-03-23 16:00:00,23.06,23.06,22.77,22.99,16712
2023-03-23 15:45:00,23.12,23.14,22.92,23.1299,14257
2023-03-23 15:30:00,23.0,23.14,22.77,22.96,2615
2023-03-23 15:15:00,22.82,22.95,22.7118,22.95,4259
2023-03-23 15:00:00,22.3,22.84,22.24,22.82,6693
2023-03-23 14:45:00,22.06,22.2,22.03,22.195,1181
2023-03-23 14:30:00,22.43,22.43,22.39,22.39,382
2023-03-23 14:15:00,22.03,22.26,22.03,22.26,317
2023-03-23 14:00:00,22.265,22.265,22.265,22.265,278
2023-03-23 13:45:00,22.4393,22.4393,22.03,22.03,221
2023-03-23 13:30:00,22.48,22.485,22.27,22.27,809
2023-03-23 12:45:00,22.4761,22.4761,22.4761,22.4761,100
2023-03-23 12:15:00,22.27,22.27,22.0297,22.25,961
2023-03-23 12:00:00,22.54,22.54,22.54,22.54,405
2023-03-23 11:45:00,22.13,22.455,22.12,22.455,2650
2023-03-23 11:30:00,22.14,22.14,22.14,22.14,316
2023-03-23 11:15:00,22.24,22.24,22.2,22.21,382
2023-03-23 11:00:00,22.56,22.56,22.3,22.3,1425
2023-03-23 10:45:00,22.26,22.26,22.012,22.125,2470
2023-03-23 10:30:00,22.5049,22.5049,22.26,22.4714,1608
2023-03-23 10:15:00,22.69,23.04,22.53,22.685,1313
2023-03-23 10:00:00,23.5541,23.5541,22.56,22.56,2026
2023-03-23 09:45:00,24.06,24.9899,23.16,23.53,16159
2023-03-23 09:30:00,23.78,23.8,23.78,23.79,519
2023-03-23 09:00:00,22.65,22.65,22.65,22.65,100
