time,open,high,low,close,volume
2023-03-20 16:00:00,7.75,7.75,7.695,7.74,3596
2023-03-20 15:45:00,7.75,7.8,7.6353,7.69,5454
2023-03-20 15:15:00,7.8,7.8,7.68,7.8,7028
2023-03-20 15:00:00,7.81,7.81,7.78,7.78,627
2023-03-20 14:45:00,7.8,7.8,7.8,7.8,430
2023-03-20 11:15:00,7.805,7.805,7.805,7.805,100
2023-03-20 10:45:00,7.83,7.83,7.83,7.83,115
2023-03-20 10:30:00,7.84,7.85,7.84,7.84,400
2023-03-17 16:00:00,7.7737,7.7737,7.75,7.75,350
2023-03-17 15:30:00,7.78,7.78,7.78,7.78,256
2023-03-17 14:15:00,7.78,7.78,7.78,7.78,204
2023-03-17 14:00:00,7.77,7.77,7.75,7.75,600
2023-03-17 13:45:00,7.75,7.75,7.75,7.75,100
2023-03-17 12:45:00,7.76,7.76,7.76,7.76,100
2023-03-17 12:30:00,7.77,7.77,7.77,7.77,232
2023-03-17 11:15:00,7.81,7.81,7.81,7.81,102
2023-03-17 10:00:00,7.83,7.83,7.83,7.83,100
2023-03-17 09:45:00,7.76,7.76,7.76,7.76,231
2023-03-16 16:00:00,7.77,7.77,7.77,7.77,170
2023-03-16 15:45:00,7.81,7.82,7.76,7.76,1256
2023-03-16 15:15:00,7.785,7.785,7.75,7.75,1708
2023-03-16 15:00:00,7.81,7.81,7.81,7.81,288
2023-03-16 14:45:00,7.75,7.75,7.75,7.75,296
2023-03-16 14:30:00,7.75,7.75,7.75,7.75,100
2023-03-16 13:30:00,7.76,7.7601,7.75,7.75,1382
2023-03-16 11:45:00,7.81,7.82,7.81,7.82,200
2023-03-16 11:30:00,7.8,7.8,7.8,7.8,200
2023-03-16 11:15:00,7.75,7.76,7.75,7.76,523
2023-03-16 11:00:00,7.76,7.7698,7.75,7.75,922
2023-03-16 10:00:00,7.75,7.7501,7.75,7.75,1400
2023-03-16 09:45:00,7.75,7.75,7.75,7.75,100
2023-03-15 16:00:00,7.83,7.83,7.83,7.83,593
2023-03-15 15:45:00,7.79,7.79,7.76,7.76,561
2023-03-15 15:30:00,7.75,7.75,7.75,7.75,100
2023-03-15 15:15:00,7.81,7.81,7.75,7.75,2178
2023-03-15 14:45:00,7.7501,7.7501,7.75,7.75,251
2023-03-15 14:00:00,7.75,7.75,7.75,7.75,500
2023-03-15 13:45:00,7.75,7.76,7.75,7.75,416
2023-03-15 13:30:00,7.7501,7.7501,7.75,7.75,258
2023-03-15 13:15:00,7.75,7.75,7.75,7.75,1001
2023-03-15 13:00:00,7.75,7.77,7.75,7.75,1293
2023-03-15 12:30:00,7.75,7.75,7.75,7.75,101
2023-03-15 12:15:00,7.75,7.75,7.75,7.75,524
2023-03-15 12:00:00,7.75,7.75,7.75,7.75,2153
2023-03-15 11:45:00,7.75,7.75,7.75,7.75,100
2023-03-15 11:00:00,7.79,7.7958,7.75,7.75,4702
2023-03-15 10:30:00,7.8827,7.8827,7.8827,7.8827,100
2023-03-15 10:15:00,7.84,7.84,7.84,7.84,100
2023-03-15 10:00:00,7.92,7.92,7.92,7.92,100
2023-03-15 09:45:00,7.76,7.845,7.76,7.845,352
2023-03-14 16:15:00,7.78,7.78,7.78,7.78,1920
2023-03-14 16:00:00,7.82,7.82,7.77,7.78,1843
2023-03-14 15:45:00,7.83,7.87,7.78,7.85,1808
2023-03-14 15:30:00,7.89,7.9,7.89,7.9,677
2023-03-14 15:15:00,7.9,7.9,7.77,7.835,1130
2023-03-14 14:30:00,7.87,7.87,7.87,7.87,400
2023-03-14 14:15:00,7.88,7.89,7.88,7.89,202
2023-03-14 14:00:00,7.89,7.89,7.77,7.77,650
