time,open,high,low,close,volume
2023-03-27 17:45:00,6.67,6.67,6.65,6.65,400
2023-03-27 16:30:00,6.67,6.67,6.67,6.67,200
2023-03-27 16:15:00,6.75,6.75,6.71,6.71,5173
2023-03-27 16:00:00,6.7,6.78,6.685,6.75,275068
2023-03-27 15:45:00,6.7,6.71,6.695,6.7,128949
2023-03-27 15:30:00,6.69,6.7,6.675,6.7,7601
2023-03-27 15:15:00,6.695,6.7,6.675,6.685,9491
2023-03-27 15:00:00,6.695,6.7,6.685,6.695,12939
2023-03-27 14:45:00,6.66,6.695,6.66,6.695,9601
2023-03-27 14:30:00,6.61,6.66,6.605,6.66,6921
2023-03-27 14:15:00,6.6,6.62,6.59,6.605,4061
2023-03-27 14:00:00,6.63,6.63,6.595,6.605,6153
2023-03-27 13:45:00,6.63,6.6376,6.59,6.63,8233
2023-03-27 13:30:00,6.685,6.685,6.63,6.63,7963
2023-03-27 13:15:00,6.705,6.72,6.685,6.685,6909
2023-03-27 13:00:00,6.715,6.725,6.69,6.7,12747
2023-03-27 12:45:00,6.745,6.745,6.71,6.72,5760
2023-03-27 12:30:00,6.7,6.75,6.7,6.75,4674
2023-03-27 12:15:00,6.71,6.7153,6.695,6.6999,4012
2023-03-27 12:00:00,6.725,6.765,6.71,6.71,13030
2023-03-27 11:45:00,6.715,6.735,6.69,6.73,13345
2023-03-27 11:30:00,6.715,6.72,6.7,6.72,5782
2023-03-27 11:15:00,6.7105,6.715,6.7,6.71,3712
2023-03-27 11:00:00,6.6973,6.72,6.69,6.71,5843
2023-03-27 10:45:00,6.64,6.71,6.64,6.7,4451
2023-03-27 10:30:00,6.7,6.7,6.65,6.65,6081
2023-03-27 10:15:00,6.7556,6.7806,6.68,6.72,4961
2023-03-27 10:00:00,6.725,6.8034,6.72,6.8034,7868
2023-03-27 09:45:00,6.68,6.7487,6.55,6.72,17426
2023-03-27 09:30:00,6.69,6.69,6.69,6.69,110
2023-03-24 16:15:00,6.68,6.68,6.68,6.68,5276
2023-03-24 16:00:00,6.73,6.735,6.65,6.68,57462
2023-03-24 15:45:00,6.8,6.82,6.7173,6.72,17328
2023-03-24 15:30:00,6.865,6.88,6.805,6.81,14962
2023-03-24 15:15:00,6.8774,6.89,6.85,6.865,8536
2023-03-24 15:00:00,6.87,6.87,6.86,6.87,7089
2023-03-24 14:45:00,6.87,6.87,6.85,6.85,4070
2023-03-24 14:30:00,6.86,6.89,6.84,6.86,6991
2023-03-24 14:15:00,6.87,6.87,6.85,6.85,1364
2023-03-24 14:00:00,6.9,6.9,6.8675,6.87,3170
2023-03-24 13:45:00,6.91,6.91,6.89,6.905,1372
2023-03-24 13:30:00,6.89,6.91,6.85,6.905,4866
2023-03-24 13:15:00,6.929,6.929,6.89,6.895,2800
2023-03-24 13:00:00,6.89,6.92,6.89,6.92,3938
2023-03-24 12:45:00,6.83,6.88,6.83,6.88,22304
2023-03-24 12:30:00,6.83,6.84,6.81,6.82,12105
2023-03-24 12:15:00,6.85,6.8664,6.8049,6.8289,21272
2023-03-24 12:00:00,6.78,6.845,6.78,6.83,10652
2023-03-24 11:45:00,6.765,6.78,6.75,6.78,2585
2023-03-24 11:30:00,6.809,6.809,6.7512,6.77,5820
2023-03-24 11:15:00,6.81,6.82,6.8,6.81,3841
2023-03-24 11:00:00,6.8,6.82,6.8,6.82,9777
2023-03-24 10:45:00,6.79,6.83,6.775,6.81,7652
2023-03-24 10:30:00,6.7672,6.84,6.76,6.805,11145
2023-03-24 10:15:00,6.83,6.855,6.75,6.78,4184
2023-03-24 10:00:00,6.88,6.88,6.81,6.83,6968
2023-03-24 09:45:00,6.88,6.9816,6.85,6.865,9334
2023-03-23 16:15:00,6.95,6.95,6.95,6.95,11354
2023-03-23 16:00:00,6.93,6.975,6.925,6.97,45981
2023-03-23 15:45:00,6.9,6.945,6.89,6.925,28020
2023-03-23 15:30:00,6.9,6.93,6.85,6.91,24206
2023-03-23 15:15:00,6.88,6.98,6.88,6.895,55039
2023-03-23 15:00:00,6.82,6.87,6.81,6.85,21845
2023-03-23 14:45:00,6.86,6.89,6.8,6.815,66852
2023-03-23 14:30:00,6.9,6.91,6.86,6.86,8738
2023-03-23 14:15:00,6.88,6.92,6.88,6.89,6093
2023-03-23 14:00:00,6.91,6.95,6.86,6.8809,19045
2023-03-23 13:45:00,6.91,6.98,6.905,6.909,28767
