time,open,high,low,close,volume
2023-03-27 16:00:00,1.27,1.27,1.27,1.27,118
2023-03-27 14:00:00,1.265,1.265,1.265,1.265,1000
2023-03-27 13:45:00,1.265,1.265,1.265,1.265,200
2023-03-27 13:30:00,1.2632,1.2632,1.2632,1.2632,1000
2023-03-27 10:45:00,1.3103,1.3103,1.2793,1.2793,2284
2023-03-24 16:00:00,1.3,1.3,1.26,1.3,7984
2023-03-24 15:45:00,1.29,1.3,1.29,1.3,2835
2023-03-24 15:30:00,1.3,1.3,1.3,1.3,200
2023-03-24 15:15:00,1.28,1.3,1.28,1.3,4605
2023-03-24 14:45:00,1.28,1.28,1.28,1.28,100
2023-03-24 14:30:00,1.28,1.28,1.28,1.28,102
2023-03-24 14:15:00,1.285,1.285,1.285,1.285,100
2023-03-24 14:00:00,1.2899,1.2899,1.2899,1.2899,1000
2023-03-24 13:45:00,1.28,1.3,1.27,1.285,26600
2023-03-24 13:15:00,1.285,1.285,1.285,1.285,100
2023-03-24 13:00:00,1.26,1.26,1.26,1.26,100
2023-03-24 12:45:00,1.285,1.285,1.285,1.285,100
2023-03-24 12:15:00,1.26,1.26,1.251,1.251,10010
2023-03-24 12:00:00,1.285,1.285,1.285,1.285,100
2023-03-24 11:00:00,1.28,1.28,1.28,1.28,6125
2023-03-24 10:00:00,1.2814,1.2816,1.2814,1.2816,2600
2023-03-23 16:00:00,1.32,1.3376,1.32,1.3376,546
2023-03-23 15:45:00,1.33,1.33,1.33,1.33,1000
2023-03-23 13:15:00,1.335,1.35,1.335,1.35,829
2023-03-23 13:00:00,1.32,1.33,1.32,1.33,5000
2023-03-23 12:45:00,1.32,1.32,1.32,1.32,1435
2023-03-23 12:15:00,1.35,1.37,1.32,1.32,1600
2023-03-23 12:00:00,1.315,1.349,1.315,1.315,2600
2023-03-22 16:00:00,1.29,1.3,1.29,1.3,416
2023-03-22 15:45:00,1.3,1.305,1.29,1.305,930
2023-03-22 15:15:00,1.31,1.31,1.31,1.31,600
2023-03-22 14:00:00,1.2911,1.2911,1.2911,1.2911,200
2023-03-22 12:30:00,1.305,1.305,1.305,1.305,318
2023-03-22 12:15:00,1.305,1.305,1.305,1.305,100
2023-03-22 12:00:00,1.291,1.3,1.2906,1.3,2109
2023-03-22 11:15:00,1.2901,1.3,1.2901,1.3,2500
2023-03-22 10:30:00,1.3,1.305,1.28,1.305,10427
2023-03-22 10:00:00,1.34,1.34,1.33,1.33,3349
2023-03-22 09:45:00,1.33,1.33,1.33,1.33,110
2023-03-21 16:00:00,1.32,1.32,1.31,1.3175,12801
2023-03-21 15:45:00,1.32,1.32,1.32,1.32,6400
2023-03-21 15:30:00,1.32,1.33,1.32,1.32,4704
2023-03-21 15:15:00,1.32,1.32,1.32,1.32,3700
2023-03-21 15:00:00,1.32,1.32,1.32,1.32,3646
2023-03-21 14:45:00,1.32,1.32,1.32,1.32,1902
2023-03-21 14:30:00,1.32,1.32,1.32,1.32,310
2023-03-21 14:15:00,1.32,1.32,1.32,1.32,200
2023-03-21 14:00:00,1.32,1.32,1.32,1.32,400
2023-03-21 13:30:00,1.315,1.315,1.315,1.315,1900
2023-03-21 13:15:00,1.315,1.315,1.315,1.315,3000
2023-03-21 13:00:00,1.315,1.315,1.315,1.315,1500
2023-03-21 12:45:00,1.315,1.315,1.3,1.315,1100
2023-03-21 12:30:00,1.315,1.315,1.315,1.315,1600
2023-03-21 12:15:00,1.315,1.315,1.315,1.315,2620
2023-03-21 12:00:00,1.315,1.329,1.315,1.315,10100
2023-03-21 11:45:00,1.315,1.315,1.315,1.315,2200
2023-03-21 11:30:00,1.315,1.315,1.315,1.315,1200
2023-03-21 11:15:00,1.315,1.315,1.3,1.315,2900
2023-03-21 11:00:00,1.315,1.315,1.315,1.315,2100
2023-03-21 10:45:00,1.32,1.32,1.3091,1.315,17500
2023-03-21 10:15:00,1.3206,1.34,1.32,1.34,13113
2023-03-21 10:00:00,1.34,1.34,1.34,1.34,9985
2023-03-21 09:45:00,1.36,1.36,1.36,1.36,100
2023-03-20 16:00:00,1.34,1.345,1.33,1.345,20094
2023-03-20 15:45:00,1.35,1.355,1.34,1.34,982
2023-03-20 15:30:00,1.35,1.35,1.35,1.35,106
2023-03-20 15:15:00,1.35,1.36,1.34,1.34,1952504
2023-03-20 15:00:00,1.34,1.35,1.34,1.35,2300
