time,open,high,low,close,volume
2023-03-27 16:00:00,2.845,2.85,2.78,2.79,47997
2023-03-27 15:45:00,2.7799,2.855,2.775,2.85,47329
2023-03-27 15:30:00,2.79,2.81,2.77,2.78,18559
2023-03-27 15:15:00,2.805,2.81,2.7601,2.7837,31156
2023-03-27 15:00:00,2.81,2.81,2.78,2.805,13626
2023-03-27 14:45:00,2.815,2.82,2.805,2.81,7581
2023-03-27 14:30:00,2.77,2.82,2.77,2.815,21449
2023-03-27 14:15:00,2.785,2.785,2.75,2.765,19094
2023-03-27 14:00:00,2.775,2.79,2.7707,2.79,8931
2023-03-27 13:45:00,2.73,2.78,2.72,2.775,113358
2023-03-27 13:30:00,2.725,2.76,2.71,2.735,35810
2023-03-27 13:15:00,2.6885,2.74,2.6885,2.7299,33078
2023-03-27 13:00:00,2.67,2.69,2.66,2.6891,12044
2023-03-27 12:45:00,2.675,2.68,2.64,2.67,34070
2023-03-27 12:30:00,2.67,2.69,2.6601,2.68,22174
2023-03-27 12:15:00,2.6392,2.67,2.6392,2.67,17523
2023-03-27 12:00:00,2.63,2.64,2.6137,2.64,11140
2023-03-27 11:45:00,2.59,2.63,2.5881,2.63,9492
2023-03-27 11:30:00,2.571,2.6,2.552,2.59,6220
2023-03-27 11:15:00,2.575,2.58,2.57,2.58,2740
2023-03-27 11:00:00,2.56,2.6,2.56,2.575,19197
2023-03-27 10:45:00,2.57,2.57,2.56,2.56,1516
2023-03-27 10:30:00,2.5842,2.5842,2.56,2.5699,19346
2023-03-27 10:15:00,2.595,2.63,2.5862,2.5862,22069
2023-03-27 10:00:00,2.57,2.6,2.57,2.595,17191
2023-03-27 09:45:00,2.51,2.59,2.495,2.53,30763
2023-03-27 08:15:00,2.46,2.46,2.46,2.46,200
2023-03-27 07:15:00,2.45,2.5,2.45,2.5,1708
2023-03-24 20:00:00,2.51,2.51,2.5,2.5,767
2023-03-24 18:45:00,2.45,2.49,2.45,2.49,1200
2023-03-24 18:30:00,2.6,2.6,2.6,2.6,405
2023-03-24 18:15:00,2.47,2.47,2.47,2.47,100
2023-03-24 16:00:00,2.4942,2.52,2.49,2.505,34640
2023-03-24 15:45:00,2.505,2.52,2.4901,2.4901,26938
2023-03-24 15:30:00,2.485,2.5,2.481,2.5,6472
2023-03-24 15:15:00,2.495,2.505,2.48,2.48,11721
2023-03-24 15:00:00,2.4701,2.4999,2.4701,2.4999,15724
2023-03-24 14:45:00,2.465,2.4797,2.465,2.475,9331
2023-03-24 14:30:00,2.473,2.475,2.47,2.47,4382
2023-03-24 14:15:00,2.4785,2.4791,2.47,2.479,1671
2023-03-24 14:00:00,2.495,2.495,2.47,2.47,10289
2023-03-24 13:45:00,2.485,2.5193,2.48,2.495,41725
2023-03-24 13:30:00,2.4514,2.51,2.4514,2.49,40126
2023-03-24 13:15:00,2.46,2.46,2.452,2.452,5291
2023-03-24 13:00:00,2.4527,2.4689,2.45,2.4689,4763
2023-03-24 12:45:00,2.455,2.4599,2.4516,2.4516,520
2023-03-24 12:30:00,2.442,2.4899,2.442,2.455,56437
2023-03-24 12:15:00,2.45,2.46,2.4444,2.4444,6502
2023-03-24 12:00:00,2.43,2.455,2.43,2.45,12651
2023-03-24 11:45:00,2.4001,2.425,2.4001,2.425,5981
2023-03-24 11:30:00,2.395,2.415,2.395,2.405,31248
2023-03-24 11:15:00,2.3822,2.402,2.38,2.395,14621
2023-03-24 11:00:00,2.41,2.41,2.3899,2.39,13371
2023-03-24 10:45:00,2.435,2.47,2.42,2.42,50591
2023-03-24 10:30:00,2.4249,2.43,2.4,2.42,23566
2023-03-24 10:15:00,2.41,2.41,2.3803,2.41,8558
2023-03-24 10:00:00,2.44,2.44,2.38,2.4,32993
2023-03-24 09:45:00,2.46,2.46,2.395,2.45,49526
2023-03-24 09:30:00,2.45,2.45,2.45,2.45,1026
2023-03-24 08:45:00,2.45,2.45,2.42,2.42,6200
2023-03-24 08:15:00,2.5,2.5,2.45,2.45,5128
2023-03-24 07:30:00,2.45,2.45,2.44,2.44,4105
2023-03-24 07:15:00,2.45,2.45,2.45,2.45,3800
2023-03-23 19:45:00,2.54,2.54,2.54,2.54,200
2023-03-23 16:00:00,2.455,2.49,2.455,2.49,46326
2023-03-23 15:45:00,2.45,2.495,2.44,2.455,107848
2023-03-23 15:30:00,2.475,2.475,2.44,2.44,110800
2023-03-23 15:15:00,2.49,2.5,2.47,2.475,32354
2023-03-23 15:00:00,2.495,2.5,2.48,2.485,70884
2023-03-23 14:45:00,2.51,2.51,2.48,2.4958,125889
2023-03-23 14:30:00,2.52,2.53,2.515,2.515,31044
2023-03-23 14:15:00,2.53,2.53,2.51,2.515,10018
2023-03-23 14:00:00,2.54,2.54,2.53,2.535,9392
2023-03-23 13:45:00,2.52,2.54,2.5015,2.54,66826
2023-03-23 13:30:00,2.515,2.52,2.51,2.515,81732
2023-03-23 13:15:00,2.55,2.55,2.51,2.515,25600
2023-03-23 13:00:00,2.5608,2.57,2.52,2.5399,88294
2023-03-23 12:45:00,2.565,2.57,2.5611,2.5684,4741
2023-03-23 12:30:00,2.59,2.59,2.55,2.565,24842
2023-03-23 12:15:00,2.6002,2.6002,2.58,2.585,19141
2023-03-23 12:00:00,2.6699,2.67,2.5993,2.605,51448
2023-03-23 11:45:00,2.625,2.6694,2.625,2.66,18971
2023-03-23 11:30:00,2.6,2.64,2.585,2.625,53995
2023-03-23 11:15:00,2.575,2.6,2.575,2.595,16971
2023-03-23 11:00:00,2.5887,2.5887,2.5735,2.5735,9168
2023-03-23 10:45:00,2.595,2.62,2.54,2.5899,63486
2023-03-23 10:30:00,2.65,2.65,2.5908,2.5908,25562
2023-03-23 10:15:00,2.68,2.68,2.655,2.655,8806
2023-03-23 10:00:00,2.67,2.6856,2.6,2.68,55048
2023-03-23 09:45:00,2.67,2.72,2.65,2.6787,30228
2023-03-23 08:45:00,2.6707,2.6707,2.6707,2.6707,450
2023-03-22 19:45:00,2.78,2.78,2.78,2.78,200
2023-03-22 16:00:00,2.67,2.68,2.655,2.67,54376
2023-03-22 15:45:00,2.66,2.68,2.64,2.675,30802
2023-03-22 15:30:00,2.64,2.71,2.64,2.67,84177
2023-03-22 15:15:00,2.71,2.71,2.63,2.645,121273
2023-03-22 15:00:00,2.77,2.77,2.71,2.72,38818
2023-03-22 14:45:00,2.755,2.77,2.7209,2.76,89972
2023-03-22 14:30:00,2.795,2.82,2.755,2.755,40083
2023-03-22 14:15:00,2.8,2.8193,2.8,2.8,10672
2023-03-22 14:00:00,2.7751,2.79,2.7751,2.79,8798
2023-03-22 13:45:00,2.79,2.7949,2.78,2.78,10376
2023-03-22 13:30:00,2.79,2.8,2.79,2.79,7441
2023-03-22 13:15:00,2.785,2.7886,2.7824,2.7886,2803
2023-03-22 13:00:00,2.785,2.8,2.78,2.79,16996
2023-03-22 12:45:00,2.7889,2.7899,2.76,2.785,21451
2023-03-22 12:30:00,2.7755,2.81,2.76,2.79,39914
2023-03-22 12:15:00,2.78,2.78,2.7709,2.7709,750
2023-03-22 12:00:00,2.775,2.8,2.775,2.79,6603
2023-03-22 11:45:00,2.75,2.78,2.745,2.78,30452
2023-03-22 11:30:00,2.7301,2.7499,2.7301,2.7401,15223
2023-03-22 11:15:00,2.75,2.76,2.7312,2.735,20632
2023-03-22 11:00:00,2.745,2.76,2.72,2.7482,44598
2023-03-22 10:45:00,2.79,2.79,2.72,2.745,93972
2023-03-22 10:30:00,2.78,2.81,2.7714,2.79,24353
2023-03-22 10:15:00,2.78,2.7806,2.77,2.77,9157
2023-03-22 10:00:00,2.8,2.81,2.76,2.77,18560
2023-03-22 09:45:00,2.87,2.88,2.79,2.81,29302
2023-03-22 09:30:00,2.89,2.89,2.88,2.88,3100
2023-03-22 08:15:00,3.0499,3.0499,3.0499,3.0499,200
2023-03-21 17:45:00,2.97,2.97,2.97,2.97,218
2023-03-21 16:00:00,2.9,2.9,2.86,2.88,48451
2023-03-21 15:45:00,2.88,2.9,2.88,2.895,13754
2023-03-21 15:30:00,2.87,2.885,2.865,2.88,12551
2023-03-21 15:15:00,2.855,2.8729,2.855,2.8701,13777
2023-03-21 15:00:00,2.86,2.865,2.855,2.855,5810
2023-03-21 14:45:00,2.88,2.8801,2.86,2.865,25508
2023-03-21 14:30:00,2.88,2.8899,2.88,2.8866,4804
2023-03-21 14:15:00,2.89,2.89,2.88,2.88,1205
2023-03-21 14:00:00,2.875,2.9,2.875,2.8901,10223
2023-03-21 13:45:00,2.895,2.895,2.865,2.8701,34570
2023-03-21 13:30:00,2.885,2.89,2.855,2.89,81388
2023-03-21 13:15:00,2.9,2.9,2.87,2.8899,23727
2023-03-21 13:00:00,2.91,2.91,2.9,2.905,4690
2023-03-21 12:45:00,2.9101,2.915,2.9,2.905,8782
