time,open,high,low,close,volume
2023-03-27 16:15:00,6.68,6.68,6.68,6.68,473
2023-03-27 16:00:00,6.64,6.71,6.64,6.68,38661
2023-03-27 15:45:00,6.61,6.685,6.59,6.64,14641
2023-03-27 15:30:00,6.495,6.64,6.495,6.6286,10925
2023-03-27 15:15:00,6.365,6.54,6.365,6.5,19592
2023-03-27 15:00:00,6.29,6.36,6.29,6.36,5284
2023-03-27 14:45:00,6.2887,6.31,6.26,6.29,5156
2023-03-27 14:30:00,6.27,6.3,6.24,6.3,1833
2023-03-27 14:15:00,6.25,6.28,6.13,6.27,26589
2023-03-27 14:00:00,6.29,6.29,6.25,6.27,2194
2023-03-27 13:45:00,6.24,6.27,6.23,6.26,2032
2023-03-27 13:30:00,6.27,6.28,6.23,6.23,1915
2023-03-27 13:15:00,6.24,6.29,6.24,6.27,3168
2023-03-27 13:00:00,6.19,6.24,6.19,6.23,2226
2023-03-27 12:45:00,6.24,6.24,6.1595,6.192,4666
2023-03-27 12:30:00,6.24,6.26,6.24,6.25,1801
2023-03-27 12:15:00,6.21,6.25,6.17,6.25,4593
2023-03-27 12:00:00,6.3,6.315,6.24,6.24,1657
2023-03-27 11:45:00,6.3,6.33,6.3,6.3,2751
2023-03-27 11:30:00,6.3,6.3099,6.27,6.295,1708
2023-03-27 11:15:00,6.36,6.36,6.32,6.32,508
2023-03-27 11:00:00,6.3,6.37,6.3,6.33,2058
2023-03-27 10:45:00,6.3002,6.35,6.28,6.32,2443
2023-03-27 10:30:00,6.32,6.3473,6.3,6.3473,1262
2023-03-27 10:15:00,6.28,6.36,6.25,6.28,6706
2023-03-27 10:00:00,6.31,6.38,6.24,6.29,4143
2023-03-27 09:45:00,6.25,6.263,6.16,6.24,6432
2023-03-24 20:00:00,6.49,6.49,6.49,6.49,187
2023-03-24 16:15:00,6.19,6.19,6.19,6.19,1352
2023-03-24 16:00:00,6.18,6.2,6.1,6.195,45834
2023-03-24 15:45:00,6.22,6.22,6.17,6.17,6105
2023-03-24 15:30:00,6.18,6.22,6.18,6.21,9403
2023-03-24 15:15:00,6.16,6.18,6.12,6.18,13715
2023-03-24 15:00:00,6.15,6.165,6.12,6.165,5689
2023-03-24 14:45:00,6.15,6.17,6.14,6.1627,3940
2023-03-24 14:30:00,6.13,6.19,6.13,6.16,10810
2023-03-24 14:15:00,6.18,6.18,6.11,6.12,3430
2023-03-24 14:00:00,6.13,6.1694,6.12,6.15,3951
2023-03-24 13:45:00,6.14,6.15,6.14,6.14,2021
2023-03-24 13:30:00,6.11,6.13,6.075,6.12,5892
2023-03-24 13:15:00,6.09,6.13,6.09,6.11,1156
2023-03-24 13:00:00,6.12,6.14,6.11,6.11,2217
2023-03-24 12:45:00,6.14,6.16,6.12,6.13,6765
2023-03-24 12:30:00,6.13,6.13,6.09,6.11,3785
2023-03-24 12:15:00,6.13,6.16,6.09,6.12,13706
2023-03-24 12:00:00,6.09,6.14,6.09,6.117,4292
2023-03-24 11:45:00,6.08,6.08,6.03,6.03,2116
2023-03-24 11:30:00,5.99,6.08,5.99,6.08,8266
2023-03-24 11:15:00,6.07,6.07,5.99,5.99,2605
2023-03-24 11:00:00,6.0,6.11,6.0,6.095,7743
2023-03-24 10:45:00,6.02,6.02,5.955,6.0,10402
2023-03-24 10:30:00,5.92,6.01,5.85,5.9891,27152
2023-03-24 10:15:00,5.98,5.98,5.84,5.92,35045
2023-03-24 10:00:00,6.0,6.06,5.8801,5.98,21581
2023-03-24 09:45:00,6.21,6.21,5.96,6.0064,101814
2023-03-23 16:15:00,6.28,6.28,6.28,6.28,417
2023-03-23 16:00:00,6.23,6.3,6.23,6.29,26302
2023-03-23 15:45:00,6.26,6.26,6.21,6.23,14612
2023-03-23 15:30:00,6.27,6.28,6.245,6.28,3629
2023-03-23 15:15:00,6.24,6.31,6.24,6.265,7790
2023-03-23 15:00:00,6.22,6.24,6.21,6.23,2970
2023-03-23 14:45:00,6.23,6.24,6.205,6.215,6381
2023-03-23 14:30:00,6.235,6.275,6.23,6.23,4700
2023-03-23 14:15:00,6.23,6.25,6.22,6.23,4025
2023-03-23 14:00:00,6.2,6.23,6.2,6.23,6028
2023-03-23 13:45:00,6.2371,6.24,6.2,6.2,3390
2023-03-23 13:30:00,6.25,6.28,6.2,6.2183,6013
2023-03-23 13:15:00,6.27,6.28,6.24,6.26,4882
2023-03-23 13:00:00,6.27,6.29,6.245,6.27,11543
2023-03-23 12:45:00,6.33,6.33,6.28,6.2813,7925
2023-03-23 12:30:00,6.355,6.355,6.31,6.33,12197
2023-03-23 12:15:00,6.37,6.39,6.37,6.38,2211
2023-03-23 12:00:00,6.37,6.385,6.365,6.38,2716
2023-03-23 11:45:00,6.39,6.39,6.37,6.37,889
2023-03-23 11:30:00,6.43,6.4423,6.39,6.4,5828
2023-03-23 11:15:00,6.41,6.42,6.37,6.39,8543
2023-03-23 11:00:00,6.39,6.4252,6.39,6.41,2683
2023-03-23 10:45:00,6.39,6.405,6.36,6.39,5379
2023-03-23 10:30:00,6.37,6.3827,6.35,6.36,1424
2023-03-23 10:15:00,6.41,6.41,6.34,6.37,4089
2023-03-23 10:00:00,6.41,6.41,6.34,6.3613,5656
2023-03-23 09:45:00,6.45,6.5,6.38,6.395,2584
2023-03-23 09:00:00,6.56,6.57,6.56,6.57,1500
2023-03-22 16:15:00,6.4,6.4,6.4,6.4,1536
2023-03-22 16:00:00,6.465,6.48,6.36,6.38,36219
2023-03-22 15:45:00,6.52,6.52,6.46,6.47,9398
2023-03-22 15:30:00,6.53,6.59,6.52,6.54,7470
2023-03-22 15:15:00,6.54,6.55,6.5234,6.54,2004
2023-03-22 15:00:00,6.56,6.65,6.544,6.544,6998
2023-03-22 14:45:00,6.54,6.585,6.49,6.58,16827
2023-03-22 14:30:00,6.56,6.62,6.56,6.56,1449
2023-03-22 14:15:00,6.59,6.7,6.56,6.56,3622
2023-03-22 14:00:00,6.505,6.59,6.505,6.5655,5066
2023-03-22 13:45:00,6.53,6.53,6.5,6.5,2619
2023-03-22 13:30:00,6.58,6.63,6.49,6.53,9384
2023-03-22 13:15:00,6.58,6.58,6.53,6.5439,584
2023-03-22 13:00:00,6.53,6.575,6.53,6.575,1366
2023-03-22 12:45:00,6.485,6.56,6.48,6.56,976
2023-03-22 12:30:00,6.41,6.5199,6.41,6.485,5628
2023-03-22 12:15:00,6.42,6.42,6.4,6.41,959
2023-03-22 12:00:00,6.355,6.44,6.355,6.41,11895
2023-03-22 11:45:00,6.34,6.37,6.33,6.365,4864
