time,open,high,low,close,volume
2023-03-24 19:30:00,2.75,2.75,2.75,2.75,200
2023-03-24 18:15:00,2.7,2.7,2.7,2.7,2000
2023-03-24 16:15:00,2.68,2.68,2.68,2.68,165
2023-03-24 16:00:00,2.705,2.7075,2.67,2.67,120506
2023-03-24 15:45:00,2.705,2.7075,2.7,2.705,24704
2023-03-24 15:30:00,2.7,2.71,2.7,2.705,34577
2023-03-24 15:15:00,2.7275,2.7275,2.7,2.7,34831
2023-03-24 15:00:00,2.725,2.73,2.72,2.72,18914
2023-03-24 14:45:00,2.68,2.73,2.67,2.725,34747
2023-03-24 14:30:00,2.665,2.68,2.66,2.68,47413
2023-03-24 14:15:00,2.6675,2.67,2.66,2.665,20640
2023-03-24 14:00:00,2.665,2.67,2.66,2.665,25891
2023-03-24 13:45:00,2.64,2.67,2.635,2.665,19473
2023-03-24 13:30:00,2.63,2.64,2.6,2.635,48840
2023-03-24 13:15:00,2.645,2.65,2.62,2.63,75626
2023-03-24 13:00:00,2.655,2.66,2.64,2.65,30965
2023-03-24 12:45:00,2.675,2.68,2.65,2.655,43911
2023-03-24 12:30:00,2.675,2.68,2.6715,2.6725,12849
2023-03-24 12:15:00,2.675,2.68,2.67,2.675,18069
2023-03-24 12:00:00,2.67,2.68,2.66,2.67,37930
2023-03-24 11:45:00,2.665,2.67,2.65,2.665,48241
2023-03-24 11:30:00,2.64,2.665,2.63,2.665,58953
2023-03-24 11:15:00,2.685,2.69,2.635,2.645,61167
2023-03-24 11:00:00,2.715,2.715,2.67,2.685,54680
2023-03-24 10:45:00,2.72,2.75,2.715,2.715,78747
2023-03-24 10:30:00,2.75,2.75,2.685,2.72,60232
2023-03-24 10:15:00,2.7506,2.7887,2.7506,2.76,81305
2023-03-24 10:00:00,2.7719,2.7889,2.74,2.755,61259
2023-03-24 09:45:00,2.85,2.85,2.74,2.77,33137
2023-03-24 09:15:00,2.916,2.916,2.916,2.916,250
2023-03-24 08:15:00,2.84,2.84,2.84,2.84,200
2023-03-23 17:45:00,2.93,2.93,2.93,2.93,300
2023-03-23 17:15:00,2.87,2.89,2.87,2.89,200
2023-03-23 16:15:00,2.9,2.9,2.9,2.9,3211
2023-03-23 16:00:00,2.89,2.915,2.87,2.9,189812
2023-03-23 15:45:00,2.8108,2.895,2.81,2.89,124181
2023-03-23 15:30:00,2.765,2.815,2.755,2.815,57975
2023-03-23 15:15:00,2.77,2.8,2.76,2.76,27295
2023-03-23 15:00:00,2.75,2.77,2.745,2.77,27013
2023-03-23 14:45:00,2.735,2.76,2.73,2.74,31038
2023-03-23 14:30:00,2.765,2.7665,2.73,2.735,273671
2023-03-23 14:15:00,2.765,2.77,2.75,2.765,26068
2023-03-23 14:00:00,2.785,2.79,2.76,2.76,28864
2023-03-23 13:45:00,2.79,2.8,2.785,2.7864,17456
2023-03-23 13:30:00,2.77,2.815,2.76,2.7822,17838
2023-03-23 13:15:00,2.77,2.78,2.76,2.76,8931
2023-03-23 13:00:00,2.775,2.775,2.755,2.765,20519
2023-03-23 12:45:00,2.775,2.78,2.76,2.78,40039
2023-03-23 12:30:00,2.76,2.78,2.755,2.775,33531
2023-03-23 12:15:00,2.8,2.81,2.76,2.76,21878
2023-03-23 12:00:00,2.795,2.81,2.795,2.8,17267
2023-03-23 11:45:00,2.805,2.81,2.795,2.795,29311
2023-03-23 11:30:00,2.805,2.81,2.8,2.805,5661
2023-03-23 11:15:00,2.805,2.82,2.805,2.805,9270
2023-03-23 11:00:00,2.81,2.8199,2.8,2.805,39585
2023-03-23 10:45:00,2.85,2.855,2.8,2.81,27919
2023-03-23 10:30:00,2.7867,2.85,2.7867,2.85,14330
2023-03-23 10:15:00,2.78,2.79,2.74,2.79,80094
2023-03-23 10:00:00,2.75,2.78,2.74,2.78,23617
2023-03-23 09:45:00,2.75,2.81,2.75,2.76,74241
2023-03-23 09:30:00,2.77,2.77,2.77,2.77,100
2023-03-23 04:45:00,2.71,2.71,2.7,2.7,333
2023-03-22 18:45:00,2.75,2.75,2.75,2.75,500
2023-03-22 17:45:00,2.75,2.75,2.75,2.75,400
2023-03-22 16:30:00,2.78,2.78,2.69,2.69,3480
2023-03-22 16:15:00,2.77,2.77,2.77,2.77,1089
2023-03-22 16:00:00,2.76,2.77,2.73,2.77,251866
2023-03-22 15:45:00,2.8525,2.86,2.725,2.76,96047
2023-03-22 15:30:00,2.875,2.88,2.85,2.8525,86632
2023-03-22 15:15:00,2.855,2.88,2.85,2.875,141088
2023-03-22 15:00:00,2.855,2.88,2.85,2.855,75588
2023-03-22 14:45:00,2.765,2.87,2.75,2.86,136006
2023-03-22 14:30:00,2.7415,2.785,2.7401,2.765,39082
2023-03-22 14:15:00,2.775,2.8095,2.74,2.745,61274
2023-03-22 14:00:00,2.75,2.78,2.75,2.775,11319
2023-03-22 13:45:00,2.75,2.775,2.75,2.75,42797
2023-03-22 13:30:00,2.715,2.75,2.715,2.75,21294
2023-03-22 13:15:00,2.715,2.72,2.7103,2.715,12234
2023-03-22 13:00:00,2.705,2.72,2.7,2.715,19858
2023-03-22 12:45:00,2.695,2.705,2.695,2.7,14332
2023-03-22 12:30:00,2.68,2.7,2.68,2.7,38301
2023-03-22 12:15:00,2.685,2.69,2.675,2.675,14249
2023-03-22 12:00:00,2.685,2.7,2.68,2.685,37377
2023-03-22 11:45:00,2.635,2.69,2.635,2.685,46489
2023-03-22 11:30:00,2.635,2.64,2.63,2.63,32931
2023-03-22 11:15:00,2.615,2.64,2.605,2.635,43142
2023-03-22 11:00:00,2.615,2.615,2.61,2.615,6320
2023-03-22 10:45:00,2.575,2.615,2.57,2.615,18222
2023-03-22 10:30:00,2.575,2.59,2.57,2.575,17490
2023-03-22 10:15:00,2.58,2.61,2.565,2.575,62863
2023-03-22 10:00:00,2.56,2.5969,2.54,2.58,60332
2023-03-22 09:45:00,2.55,2.58,2.5,2.569,42024
2023-03-22 09:30:00,2.6304,2.64,2.6304,2.64,201
2023-03-22 08:30:00,2.55,2.55,2.55,2.55,300
2023-03-22 08:15:00,2.6489,2.6489,2.6489,2.6489,308
2023-03-21 20:00:00,2.55,2.55,2.55,2.55,300
2023-03-21 18:45:00,2.55,2.55,2.55,2.55,350
2023-03-21 17:15:00,2.57,2.57,2.57,2.57,208
2023-03-21 16:45:00,2.57,2.57,2.57,2.57,846
2023-03-21 16:30:00,2.5,2.5,2.5,2.5,846
2023-03-21 16:15:00,2.55,2.55,2.55,2.55,4532
2023-03-21 16:00:00,2.495,2.56,2.49,2.54,429735
2023-03-21 15:45:00,2.465,2.5,2.465,2.5,120006
2023-03-21 15:30:00,2.475,2.48,2.46,2.465,101940
2023-03-21 15:15:00,2.475,2.485,2.455,2.48,89300
2023-03-21 15:00:00,2.475,2.5,2.47,2.475,127682
2023-03-21 14:45:00,2.455,2.475,2.45,2.47,56351
2023-03-21 14:30:00,2.45,2.48,2.445,2.455,101443
2023-03-21 14:15:00,2.435,2.45,2.42,2.445,58491
2023-03-21 14:00:00,2.4299,2.45,2.415,2.435,82554
2023-03-21 13:45:00,2.425,2.44,2.41,2.425,64157
2023-03-21 13:30:00,2.405,2.43,2.4009,2.425,44817
2023-03-21 13:15:00,2.4,2.42,2.38,2.405,51385
2023-03-21 13:00:00,2.395,2.41,2.395,2.4,63954
2023-03-21 12:45:00,2.39,2.405,2.37,2.395,79220
2023-03-21 12:30:00,2.385,2.4,2.36,2.39,65355
2023-03-21 12:15:00,2.37,2.39,2.36,2.385,81928
2023-03-21 12:00:00,2.385,2.41,2.37,2.37,90709
2023-03-21 11:45:00,2.43,2.44,2.365,2.385,98948
2023-03-21 11:30:00,2.46,2.47,2.42,2.43,82066
2023-03-21 11:15:00,2.3813,2.47,2.38,2.47,85334
2023-03-21 11:00:00,2.39,2.4,2.38,2.3812,64657
2023-03-21 10:45:00,2.415,2.4192,2.39,2.39,96562
2023-03-21 10:30:00,2.45,2.45,2.415,2.415,44827
2023-03-21 10:15:00,2.415,2.49,2.4,2.45,111317
2023-03-21 10:00:00,2.535,2.535,2.41,2.41,106248
2023-03-21 09:45:00,2.57,2.64,2.53,2.535,89292
2023-03-21 09:15:00,2.5417,2.5417,2.5417,2.5417,250
2023-03-21 09:00:00,2.54,2.54,2.54,2.54,200
2023-03-21 08:15:00,2.65,2.65,2.5431,2.5431,3973
2023-03-20 19:00:00,2.55,2.55,2.55,2.55,200
2023-03-20 16:00:00,2.575,2.6,2.575,2.595,132737
2023-03-20 15:45:00,2.535,2.58,2.53,2.575,101791
2023-03-20 15:30:00,2.585,2.59,2.51,2.535,107669
2023-03-20 15:15:00,2.59,2.59,2.58,2.585,11938
2023-03-20 15:00:00,2.605,2.61,2.59,2.59,34848
2023-03-20 14:45:00,2.605,2.61,2.6,2.605,18023
2023-03-20 14:30:00,2.6,2.61,2.6,2.6,20318
2023-03-20 14:15:00,2.605,2.61,2.6,2.6021,38042
2023-03-20 14:00:00,2.605,2.61,2.6,2.605,10152
2023-03-20 13:45:00,2.615,2.62,2.6,2.605,28687
2023-03-20 13:30:00,2.61,2.62,2.6,2.615,43208
2023-03-20 13:15:00,2.605,2.61,2.6,2.6,21297
2023-03-20 13:00:00,2.6021,2.61,2.6,2.605,9173
2023-03-20 12:45:00,2.605,2.61,2.6,2.605,12985
2023-03-20 12:30:00,2.615,2.615,2.6,2.605,11705
2023-03-20 12:15:00,2.63,2.6375,2.615,2.615,38829
2023-03-20 12:00:00,2.63,2.64,2.63,2.635,19682
2023-03-20 11:45:00,2.63,2.64,2.62,2.63,37653
