time,open,high,low,close,volume
2023-03-27 16:00:00,5.44,5.44,5.44,5.44,702
2023-03-27 14:30:00,5.45,5.45,5.45,5.45,159
2023-03-27 14:15:00,5.53,5.53,5.53,5.53,138
2023-03-27 13:30:00,5.35,5.35,5.35,5.35,317
2023-03-27 12:30:00,5.35,5.35,5.35,5.35,100
2023-03-27 10:45:00,5.59,5.59,5.59,5.59,250
2023-03-27 10:30:00,5.35,5.47,5.35,5.35,2620
2023-03-27 10:00:00,5.35,5.38,5.35,5.35,810
2023-03-27 09:45:00,5.36,5.46,5.36,5.46,1617
2023-03-24 16:00:00,5.45,5.48,5.41,5.41,2798
2023-03-24 15:45:00,5.43,5.45,5.43,5.45,310
2023-03-24 15:30:00,5.43,5.43,5.43,5.43,1628
2023-03-24 15:00:00,5.3694,5.375,5.32,5.32,1445
2023-03-24 14:30:00,5.38,5.38,5.36,5.36,1259
2023-03-24 14:15:00,5.41,5.41,5.39,5.39,835
2023-03-24 13:45:00,5.43,5.445,5.43,5.445,2480
2023-03-24 13:30:00,5.42,5.42,5.39,5.4,591
2023-03-24 13:00:00,5.385,5.385,5.385,5.385,700
2023-03-24 12:15:00,5.37,5.39,5.37,5.39,5285
2023-03-24 12:00:00,5.41,5.41,5.35,5.35,973
2023-03-24 11:30:00,5.475,5.475,5.4,5.4,2124
2023-03-24 11:15:00,5.46,5.46,5.46,5.46,100
2023-03-24 10:45:00,5.5699,5.5699,5.5699,5.5699,2040
2023-03-24 10:30:00,5.5799,5.5799,5.5799,5.5799,100
2023-03-24 10:15:00,5.41,5.41,5.41,5.41,100
2023-03-24 09:45:00,5.4,5.51,5.4,5.51,2794
2023-03-24 09:30:00,5.45,5.45,5.45,5.45,200
2023-03-23 16:00:00,5.59,5.59,5.54,5.54,1876
2023-03-23 15:45:00,5.61,5.61,5.6,5.6,4031
2023-03-23 15:30:00,5.59,5.59,5.59,5.59,1050
2023-03-23 15:15:00,5.55,5.55,5.54,5.54,210
2023-03-23 15:00:00,5.58,5.58,5.58,5.58,872
2023-03-23 14:45:00,5.58,5.58,5.5668,5.5668,260
2023-03-23 14:30:00,5.5392,5.58,5.5392,5.58,1338
2023-03-23 14:15:00,5.5,5.54,5.5,5.54,3742
2023-03-23 14:00:00,5.44,5.5282,5.44,5.5282,201
2023-03-23 13:45:00,5.575,5.575,5.48,5.555,3416
2023-03-23 13:30:00,5.575,5.575,5.575,5.575,2025
2023-03-23 13:15:00,5.6,5.6,5.6,5.6,105
2023-03-23 13:00:00,5.63,5.63,5.62,5.63,394
