time,open,high,low,close,volume
2023-03-27 20:00:00,2.38,2.39,2.38,2.38,18250
2023-03-27 19:45:00,2.38,2.38,2.36,2.36,864
2023-03-27 19:00:00,2.38,2.38,2.38,2.38,345
2023-03-27 18:45:00,2.38,2.38,2.38,2.38,1000
2023-03-27 18:30:00,2.39,2.39,2.39,2.39,300
2023-03-27 17:30:00,2.32,2.32,2.32,2.32,200
2023-03-27 17:15:00,2.32,2.3209,2.32,2.32,947
2023-03-27 16:45:00,2.31,2.36,2.31,2.36,1005
2023-03-27 16:30:00,2.2704,2.2704,2.2704,2.2704,270
2023-03-27 16:15:00,2.32,2.32,2.25,2.29,13708
2023-03-27 16:00:00,2.335,2.34,2.3,2.31,120551
2023-03-27 15:45:00,2.3,2.35,2.3,2.34,53991
2023-03-27 15:30:00,2.2611,2.34,2.26,2.3008,51960
2023-03-27 15:15:00,2.2403,2.265,2.24,2.26,14491
2023-03-27 15:00:00,2.2615,2.29,2.24,2.2428,17080
2023-03-27 14:45:00,2.26,2.2833,2.2521,2.2785,16842
2023-03-27 14:30:00,2.215,2.26,2.2101,2.255,24942
2023-03-27 14:15:00,2.1999,2.22,2.1995,2.215,13124
2023-03-27 14:00:00,2.22,2.235,2.19,2.2,21044
2023-03-27 13:45:00,2.2576,2.26,2.22,2.22,22991
2023-03-27 13:30:00,2.2519,2.27,2.23,2.2315,29825
2023-03-27 13:15:00,2.3196,2.3196,2.24,2.2515,70336
2023-03-27 13:00:00,2.2315,2.39,2.2315,2.33,171655
2023-03-27 12:45:00,2.205,2.29,2.19,2.2685,71686
2023-03-27 12:30:00,2.18,2.21,2.18,2.205,21850
2023-03-27 12:15:00,2.2,2.2,2.16,2.1976,20211
2023-03-27 12:00:00,2.19,2.22,2.14,2.2185,83405
2023-03-27 11:45:00,2.1815,2.2199,2.1815,2.2,43691
2023-03-27 11:30:00,2.165,2.19,2.1415,2.1857,39975
2023-03-27 11:15:00,2.12,2.19,2.12,2.1681,55191
2023-03-27 11:00:00,2.0955,2.145,2.07,2.14,66905
2023-03-27 10:45:00,2.0994,2.12,2.0601,2.0918,65242
2023-03-27 10:30:00,2.065,2.167,2.0515,2.1,78500
2023-03-27 10:15:00,1.9077,2.0883,1.9077,2.07,61287
2023-03-27 10:00:00,1.895,1.98,1.89,1.9178,53912
2023-03-27 09:45:00,1.85,1.9,1.82,1.89,63471
2023-03-27 09:15:00,1.8215,1.84,1.8215,1.84,2874
2023-03-27 09:00:00,1.82,1.8315,1.82,1.8315,711
2023-03-27 08:45:00,1.83,1.83,1.83,1.83,100
2023-03-27 08:30:00,1.81,1.81,1.81,1.81,2741
2023-03-27 08:15:00,1.81,1.83,1.8,1.83,13035
2023-03-27 07:45:00,1.83,1.83,1.83,1.83,600
2023-03-27 07:15:00,1.83,1.83,1.83,1.83,100
2023-03-27 06:00:00,1.82,1.83,1.82,1.83,456
2023-03-24 20:00:00,1.86,1.92,1.86,1.92,5437
2023-03-24 19:45:00,1.86,1.86,1.86,1.86,800
2023-03-24 19:30:00,1.87,1.87,1.87,1.87,247
2023-03-24 19:15:00,1.89,1.89,1.89,1.89,400
2023-03-24 19:00:00,1.87,1.87,1.86,1.86,4279
2023-03-24 18:00:00,1.8604,1.8616,1.8604,1.8616,445
2023-03-24 17:15:00,1.85,1.85,1.85,1.85,107
2023-03-24 17:00:00,1.85,1.85,1.85,1.85,220
2023-03-24 16:45:00,1.84,1.84,1.84,1.84,250
2023-03-24 16:30:00,1.9,1.9,1.89,1.9,2105
2023-03-24 16:15:00,1.85,1.87,1.83,1.8415,3854
2023-03-24 16:00:00,1.8601,1.905,1.85,1.9,164336
2023-03-24 15:45:00,1.819,1.87,1.81,1.8601,150326
2023-03-24 15:30:00,1.81,1.82,1.81,1.81,5543
2023-03-24 15:15:00,1.82,1.83,1.81,1.815,29653
2023-03-24 15:00:00,1.8,1.8299,1.8,1.825,20570
2023-03-24 14:45:00,1.83,1.84,1.8,1.8,22348
2023-03-24 14:30:00,1.855,1.8599,1.83,1.83,44431
2023-03-24 14:15:00,1.83,1.87,1.83,1.8501,18604
2023-03-24 14:00:00,1.8493,1.86,1.81,1.825,41425
2023-03-24 13:45:00,1.8015,1.87,1.8015,1.85,57792
2023-03-24 13:30:00,1.8115,1.8187,1.8,1.8037,16561
2023-03-24 13:15:00,1.8579,1.88,1.82,1.82,38690
2023-03-24 13:00:00,1.83,1.87,1.83,1.8598,58878
2023-03-24 12:45:00,1.825,1.8499,1.81,1.826,75666
2023-03-24 12:30:00,1.7615,1.85,1.7615,1.83,140778
2023-03-24 12:15:00,1.765,1.7692,1.75,1.7685,43878
2023-03-24 12:00:00,1.73,1.77,1.73,1.7685,62173
2023-03-24 11:45:00,1.7099,1.73,1.705,1.725,25674
2023-03-24 11:30:00,1.7015,1.71,1.7,1.7,22920
2023-03-24 11:15:00,1.7,1.73,1.66,1.7001,79265
2023-03-24 11:00:00,1.7283,1.7285,1.7,1.7001,37158
2023-03-24 10:45:00,1.76,1.76,1.7,1.7242,132198
2023-03-24 10:30:00,1.7385,1.765,1.7,1.765,134326
2023-03-24 10:15:00,1.6999,1.78,1.64,1.7301,255958
2023-03-24 10:00:00,1.56,1.7,1.55,1.7,153958
2023-03-24 09:45:00,1.52,1.58,1.5,1.56,93775
2023-03-24 09:30:00,1.52,1.52,1.51,1.51,660
2023-03-24 09:15:00,1.52,1.52,1.51,1.51,1237
2023-03-24 09:00:00,1.5215,1.55,1.52,1.5203,5114
2023-03-24 08:45:00,1.52,1.5585,1.52,1.5215,1859
2023-03-24 08:30:00,1.56,1.56,1.5,1.52,5487
2023-03-24 08:15:00,1.5,1.59,1.4215,1.52,25268
2023-03-24 08:00:00,1.46,1.46,1.46,1.46,240
2023-03-24 07:30:00,1.5,1.5,1.5,1.5,807
2023-03-24 07:15:00,1.5,1.5,1.49,1.5,1169
2023-03-24 07:00:00,1.45,1.45,1.45,1.45,201
2023-03-24 06:15:00,1.49,1.49,1.41,1.41,1631
2023-03-24 04:15:00,1.55,1.56,1.55,1.55,999
2023-03-23 20:00:00,1.51,1.55,1.51,1.55,403
2023-03-23 19:45:00,1.56,1.56,1.56,1.56,100
2023-03-23 19:30:00,1.55,1.55,1.55,1.55,100
2023-03-23 19:15:00,1.52,1.6,1.52,1.6,2547
