time,open,high,low,close,volume
2023-03-24 16:15:00,429.59,429.59,429.59,429.59,33792
2023-03-24 16:00:00,430.07,430.24,428.415,429.86,79720
2023-03-24 15:45:00,430.005,430.65,429.78,430.205,32483
2023-03-24 15:30:00,429.08,430.2,429.08,430.01,15608
2023-03-24 15:15:00,430.16,430.18,429.25,429.25,16356
2023-03-24 15:00:00,430.14,430.25,429.68,430.16,15937
2023-03-24 14:45:00,429.975,430.7,429.79,430.07,7625
2023-03-24 14:30:00,429.9,430.515,429.53,430.08,23175
2023-03-24 14:15:00,429.49,429.87,428.962,429.87,28402
2023-03-24 14:00:00,429.415,429.495,428.4001,429.27,7845
2023-03-24 13:45:00,430.055,430.055,429.395,429.405,8886
2023-03-24 13:30:00,430.34,430.34,428.91,429.52,16296
2023-03-24 13:15:00,429.29,430.565,429.25,430.385,12604
2023-03-24 13:00:00,429.45,430.0,429.15,429.24,29844
2023-03-24 12:45:00,428.5,429.29,428.365,429.275,28843
2023-03-24 12:30:00,427.68,428.33,427.26,428.33,7521
2023-03-24 12:15:00,429.01,429.55,427.84,427.84,10386
2023-03-24 12:00:00,426.86,429.155,426.86,428.77,29933
2023-03-24 11:45:00,426.3286,426.86,426.03,426.72,9739
2023-03-24 11:30:00,426.0,426.825,425.815,426.34,14741
2023-03-24 11:15:00,427.14,427.29,425.555,425.74,16289
2023-03-24 11:00:00,427.07,427.455,426.7,427.255,6708
2023-03-24 10:45:00,427.63,428.07,426.45,426.73,14854
2023-03-24 10:30:00,427.5,427.78,426.3628,426.8101,37702
2023-03-24 10:15:00,426.575,427.73,426.23,427.5,36478
2023-03-24 10:00:00,427.41,427.57,425.94,426.565,33119
2023-03-24 09:45:00,425.16,427.755,423.96,427.755,33439
2023-03-23 17:30:00,425.05,425.05,425.05,425.05,5126
2023-03-23 16:30:00,429.36,429.5,429.36,429.5,873
2023-03-23 16:15:00,425.05,428.0,425.05,428.0,10037
2023-03-23 16:00:00,425.79,427.36,424.92,425.05,140207
2023-03-23 15:45:00,425.28,425.965,424.94,425.825,39003
2023-03-23 15:30:00,427.12,427.555,424.45,425.3,36753
2023-03-23 15:15:00,426.85,428.78,426.655,426.96,39696
2023-03-23 15:00:00,426.12,427.1,425.24,426.58,37313
2023-03-23 14:45:00,428.04,428.58,425.93,425.93,19654
2023-03-23 14:30:00,429.68,430.08,428.375,428.375,15451
2023-03-23 14:15:00,429.44,429.96,429.23,429.68,11327
2023-03-23 14:00:00,430.59,430.59,429.11,429.235,17439
2023-03-23 13:45:00,429.69,430.595,429.63,430.595,26158
2023-03-23 13:30:00,430.58,430.615,429.055,429.49,13557
2023-03-23 13:15:00,430.45,430.69,429.77,430.58,16132
2023-03-23 13:00:00,430.785,431.19,430.05,430.51,11037
2023-03-23 12:45:00,431.65,431.65,430.19,430.86,18937
2023-03-23 12:30:00,431.54,431.54,430.85,431.365,9231
2023-03-23 12:15:00,431.75,432.585,431.6,431.6,12649
2023-03-23 12:00:00,431.11,432.27,431.11,431.91,15917
2023-03-23 11:45:00,430.53,431.105,430.14,430.985,20314
2023-03-23 11:30:00,431.25,431.25,430.615,430.68,17284
2023-03-23 11:15:00,431.06,432.42,430.845,431.31,16677
2023-03-23 11:00:00,429.26,431.54,429.26,430.94,22281
2023-03-23 10:45:00,427.69,429.24,427.69,429.24,33185
2023-03-23 10:30:00,429.085,429.7,427.84,427.84,23934
2023-03-23 10:15:00,429.525,430.275,428.84,428.9,38047
2023-03-23 10:00:00,429.685,430.43,428.59,429.33,24676
2023-03-23 09:45:00,428.74,431.425,428.35,429.83,59265
2023-03-22 16:15:00,428.58,428.58,428.58,428.58,5884
2023-03-22 16:00:00,430.88,431.13,428.05,428.12,212417
2023-03-22 15:45:00,433.435,433.72,430.89,431.0,43342
2023-03-22 15:30:00,432.07,434.45,431.89,433.44,22399
2023-03-22 15:15:00,432.195,432.45,430.19,431.82,43416
2023-03-22 15:00:00,435.01,435.59,431.91,432.195,25148
2023-03-22 14:45:00,434.68,435.83,431.88,435.13,19643
2023-03-22 14:30:00,433.985,434.78,433.265,434.74,11345
2023-03-22 14:15:00,432.465,435.335,432.46,433.91,17201
