time,open,high,low,close,volume
2023-03-27 16:00:00,2.301,2.3257,2.3,2.31,4686
2023-03-27 15:45:00,2.33,2.33,2.3,2.31,13591
2023-03-27 15:30:00,2.33,2.3301,2.33,2.33,763
2023-03-27 15:15:00,2.35,2.3525,2.3301,2.336,2647
2023-03-27 15:00:00,2.32,2.33,2.315,2.3225,32417
2023-03-27 14:45:00,2.3094,2.34,2.305,2.34,10470
2023-03-27 14:30:00,2.29,2.3,2.285,2.3,20617
2023-03-27 14:15:00,2.285,2.29,2.28,2.29,1109
2023-03-27 14:00:00,2.325,2.325,2.3001,2.3001,641
2023-03-27 13:45:00,2.33,2.335,2.31,2.31,6250
2023-03-27 13:30:00,2.31,2.38,2.3099,2.3187,37076
2023-03-27 13:15:00,2.265,2.31,2.265,2.31,28812
2023-03-27 13:00:00,2.26,2.26,2.26,2.26,100
2023-03-27 12:45:00,2.2624,2.2624,2.2624,2.2624,130
2023-03-27 12:30:00,2.2701,2.29,2.27,2.27,20794
2023-03-27 12:15:00,2.285,2.285,2.27,2.275,10268
2023-03-27 12:00:00,2.285,2.285,2.285,2.285,110
2023-03-27 11:45:00,2.285,2.285,2.28,2.285,1556
2023-03-27 11:30:00,2.2871,2.2871,2.28,2.285,451
2023-03-27 11:15:00,2.3,2.3,2.28,2.29,1973
2023-03-27 11:00:00,2.265,2.3,2.265,2.29,7793
2023-03-27 10:45:00,2.2599,2.29,2.232,2.28,57950
2023-03-27 10:15:00,2.2379,2.27,2.231,2.27,2381
2023-03-27 10:00:00,2.24,2.24,2.225,2.24,3725
2023-03-27 09:45:00,2.26,2.26,2.22,2.235,3560
2023-03-27 09:30:00,2.27,2.27,2.27,2.27,255
2023-03-27 07:15:00,2.29,2.29,2.29,2.29,200
2023-03-24 17:00:00,2.29,2.29,2.29,2.29,106
2023-03-24 16:00:00,2.26,2.27,2.23,2.2599,10375
2023-03-24 15:45:00,2.26,2.262,2.26,2.262,410
2023-03-24 15:30:00,2.2741,2.2741,2.26,2.26,965
