time,open,high,low,close,volume
2023-03-27 16:15:00,6.35,6.35,6.35,6.35,349
2023-03-27 16:00:00,6.3999,6.4,6.35,6.3873,1250
2023-03-27 15:45:00,6.3991,6.3991,6.3991,6.3991,100
2023-03-27 15:30:00,6.395,6.3999,6.39,6.3999,1200
2023-03-27 14:45:00,6.4,6.4,6.39,6.39,552
2023-03-27 14:15:00,6.39,6.4,6.38,6.38,899
2023-03-27 13:30:00,6.38,6.38,6.38,6.38,120
2023-03-27 12:45:00,6.36,6.4,6.36,6.4,1439
2023-03-27 12:30:00,6.39,6.39,6.39,6.39,250
2023-03-27 12:00:00,6.35,6.35,6.35,6.35,1655
2023-03-27 10:30:00,6.32,6.32,6.32,6.32,110
2023-03-27 10:15:00,6.25,6.26,6.25,6.26,1110
2023-03-27 10:00:00,6.25,6.25,6.25,6.25,100
2023-03-27 09:45:00,6.26,6.26,6.18,6.2373,4501
2023-03-24 16:00:00,6.27,6.27,6.27,6.27,393
2023-03-24 15:45:00,6.245,6.245,6.245,6.245,100
2023-03-24 15:00:00,6.2799,6.2799,6.24,6.24,401
2023-03-24 14:45:00,6.277,6.277,6.277,6.277,100
2023-03-24 14:30:00,6.26,6.26,6.26,6.26,100
2023-03-24 13:45:00,6.32,6.32,6.32,6.32,125
2023-03-24 13:00:00,6.25,6.25,6.25,6.25,505
2023-03-24 10:00:00,6.26,6.26,6.23,6.23,1650
2023-03-24 09:45:00,6.27,6.2754,6.27,6.2754,230
2023-03-24 08:15:00,6.25,6.25,6.25,6.25,100
2023-03-23 16:00:00,6.2,6.225,6.2,6.2,882
2023-03-23 15:45:00,6.23,6.23,6.23,6.23,214
2023-03-23 15:15:00,6.22,6.22,6.22,6.22,100
2023-03-23 14:45:00,6.279,6.279,6.25,6.25,6320
2023-03-23 14:30:00,6.28,6.28,6.28,6.28,1614
2023-03-23 14:15:00,6.28,6.29,6.28,6.29,926
2023-03-23 14:00:00,6.3,6.3,6.28,6.29,562
2023-03-23 13:30:00,6.31,6.3225,6.31,6.3225,1600
2023-03-23 13:15:00,6.28,6.305,6.28,6.305,401
2023-03-23 12:30:00,6.27,6.27,6.27,6.27,300
2023-03-23 12:00:00,6.33,6.33,6.33,6.33,100
2023-03-23 11:45:00,6.325,6.325,6.325,6.325,2000
2023-03-23 11:00:00,6.27,6.28,6.25,6.28,1214
2023-03-23 09:45:00,6.27,6.27,6.27,6.27,1088
2023-03-22 16:00:00,6.36,6.36,6.25,6.31,2864
2023-03-22 15:45:00,6.32,6.32,6.26,6.32,1381
2023-03-22 15:30:00,6.32,6.32,6.32,6.32,301
2023-03-22 15:00:00,6.33,6.33,6.33,6.33,101
2023-03-22 14:45:00,6.34,6.34,6.34,6.34,101
2023-03-22 14:30:00,6.35,6.355,6.35,6.35,4611
2023-03-22 14:15:00,6.36,6.36,6.35,6.355,3325
2023-03-22 14:00:00,6.36,6.36,6.35,6.35,301
2023-03-22 13:45:00,6.36,6.375,6.36,6.36,1853
2023-03-22 13:30:00,6.3683,6.3683,6.3683,6.3683,2132
2023-03-22 13:00:00,6.365,6.3799,6.365,6.3799,666
2023-03-22 12:15:00,6.4,6.4,6.4,6.4,202
2023-03-22 12:00:00,6.42,6.42,6.4,6.42,2766
2023-03-22 11:45:00,6.46,6.46,6.46,6.46,487
2023-03-22 11:15:00,6.46,6.46,6.46,6.46,173
2023-03-22 09:45:00,6.44,6.44,6.36,6.36,325
2023-03-21 16:00:00,6.525,6.525,6.46,6.46,2391
2023-03-21 15:45:00,6.515,6.515,6.515,6.515,711
2023-03-21 15:30:00,6.48,6.54,6.48,6.54,1211
2023-03-21 15:15:00,6.46,6.48,6.46,6.48,868
2023-03-21 12:15:00,6.425,6.43,6.385,6.385,1701
2023-03-21 12:00:00,6.4299,6.4299,6.4299,6.4299,600
2023-03-21 10:45:00,6.35,6.3686,6.35,6.3686,500
2023-03-21 10:30:00,6.275,6.275,6.275,6.275,280
2023-03-21 10:15:00,6.2899,6.2899,6.2899,6.2899,200
2023-03-21 09:45:00,6.22,6.23,6.17,6.17,5823
2023-03-20 16:00:00,6.19,6.195,6.16,6.16,2469
2023-03-20 15:45:00,6.1729,6.2,6.15,6.18,4429
2023-03-20 15:30:00,6.16,6.19,6.16,6.17,617
2023-03-20 15:15:00,6.25,6.25,6.18,6.2,4145
2023-03-20 15:00:00,6.2,6.27,6.2,6.25,2486
2023-03-20 14:45:00,6.3,6.3,6.2,6.2,3732
2023-03-20 14:30:00,6.3235,6.3235,6.3,6.3,448
2023-03-20 14:15:00,6.3,6.325,6.3,6.325,403
2023-03-20 14:00:00,6.32,6.35,6.32,6.35,730
2023-03-20 13:45:00,6.3,6.32,6.3,6.32,200
2023-03-20 13:30:00,6.355,6.355,6.29,6.29,206
2023-03-20 13:15:00,6.27,6.32,6.27,6.32,831
2023-03-20 13:00:00,6.26,6.26,6.26,6.26,200
2023-03-20 12:45:00,6.26,6.27,6.26,6.27,200
2023-03-20 12:30:00,6.26,6.31,6.26,6.31,300
2023-03-20 12:15:00,6.365,6.365,6.26,6.26,2650
2023-03-20 12:00:00,6.35,6.36,6.35,6.35,807
2023-03-20 11:45:00,6.35,6.35,6.35,6.35,300
2023-03-20 11:30:00,6.4,6.4,6.38,6.38,355
2023-03-20 11:15:00,6.235,6.405,6.235,6.405,2206
2023-03-20 11:00:00,6.2501,6.2501,6.21,6.21,1129
2023-03-20 10:45:00,6.2601,6.28,6.25,6.25,3529
2023-03-20 10:30:00,6.27,6.3513,6.2,6.3,5815
2023-03-20 10:15:00,6.2995,6.32,6.26,6.27,2628
2023-03-20 10:00:00,6.295,6.34,6.26,6.26,1910
2023-03-17 18:00:00,6.21,6.21,6.21,6.21,200
2023-03-17 16:00:00,6.2,6.29,6.2,6.27,1531
2023-03-17 15:45:00,6.3099,6.3099,6.3099,6.3099,100
2023-03-17 15:30:00,6.22,6.22,6.22,6.22,275
2023-03-17 14:45:00,6.22,6.22,6.1872,6.22,2608
2023-03-17 14:30:00,6.26,6.26,6.24,6.24,250
2023-03-17 14:15:00,6.2737,6.2737,6.2737,6.2737,300
2023-03-17 14:00:00,6.26,6.26,6.25,6.25,994
2023-03-17 13:45:00,6.2834,6.2834,6.26,6.26,1698
2023-03-17 13:30:00,6.3,6.31,6.3,6.31,1100
2023-03-17 13:15:00,6.28,6.295,6.28,6.29,869
2023-03-17 13:00:00,6.295,6.295,6.295,6.295,204
2023-03-17 12:30:00,6.285,6.29,6.28,6.2801,2096
2023-03-17 12:15:00,6.2956,6.2956,6.29,6.29,2500
2023-03-17 11:45:00,6.32,6.32,6.32,6.32,100
2023-03-17 11:30:00,6.3036,6.3036,6.3036,6.3036,150
2023-03-17 11:15:00,6.25,6.3,6.25,6.3,4410
2023-03-17 11:00:00,6.36,6.36,6.3,6.3,5384
2023-03-17 10:45:00,6.36,6.36,6.36,6.36,462
2023-03-17 10:30:00,6.36,6.36,6.35,6.35,1751
2023-03-17 10:15:00,6.4,6.4,6.35,6.35,8976
2023-03-17 10:00:00,6.3899,6.4,6.37,6.4,4894
2023-03-17 09:45:00,6.44,6.44,6.44,6.44,4065
2023-03-16 16:00:00,6.49,6.49,6.44,6.48,2604
2023-03-16 15:45:00,6.5,6.5,6.45,6.47,1360
2023-03-16 15:30:00,6.54,6.54,6.475,6.48,1557
2023-03-16 15:15:00,6.575,6.575,6.54,6.54,420
2023-03-16 15:00:00,6.51,6.51,6.5,6.51,624
2023-03-16 14:45:00,6.53,6.58,6.5,6.52,1580
2023-03-16 14:00:00,6.565,6.565,6.555,6.555,351
2023-03-16 13:30:00,6.63,6.63,6.57,6.57,400
2023-03-16 12:45:00,6.555,6.555,6.555,6.555,100
2023-03-16 12:15:00,6.47,6.63,6.47,6.565,3863
2023-03-16 11:30:00,6.4505,6.4505,6.4505,6.4505,1000
2023-03-16 11:15:00,6.46,6.46,6.46,6.46,400
2023-03-16 11:00:00,6.525,6.5283,6.45,6.5283,1304
2023-03-16 10:00:00,6.5599,6.5599,6.5599,6.5599,100
2023-03-16 09:45:00,6.49,6.49,6.49,6.49,100
2023-03-16 07:15:00,6.44,6.44,6.44,6.44,100
2023-03-15 16:00:00,6.46,6.5,6.43,6.45,3737
2023-03-15 15:00:00,6.5,6.5,6.5,6.5,2000
2023-03-15 14:45:00,6.5,6.5,6.5,6.5,1001
2023-03-15 12:30:00,6.547,6.547,6.547,6.547,1081
2023-03-15 11:45:00,6.51,6.51,6.45,6.46,15876
2023-03-15 11:30:00,6.62,6.62,6.62,6.62,100
2023-03-15 11:15:00,6.49,6.53,6.46,6.5,4136
2023-03-15 11:00:00,6.48,6.49,6.475,6.49,782
2023-03-15 10:45:00,6.4501,6.52,6.4501,6.4674,3497
2023-03-15 10:30:00,6.47,6.48,6.4699,6.48,4252
2023-03-15 10:15:00,6.45,6.47,6.45,6.47,380
2023-03-15 10:00:00,6.51,6.55,6.42,6.4502,5185
2023-03-15 09:45:00,6.7,6.7,6.5,6.505,3886
2023-03-14 16:00:00,6.745,6.77,6.74,6.74,3373
2023-03-14 15:45:00,6.74,6.75,6.74,6.75,1592
2023-03-14 15:30:00,6.75,6.75,6.735,6.74,2122
2023-03-14 15:00:00,6.7457,6.7457,6.7457,6.7457,401
2023-03-14 14:45:00,6.74,6.75,6.74,6.75,410
2023-03-14 14:30:00,6.7533,6.805,6.73,6.805,2854
2023-03-14 14:15:00,6.819,6.82,6.78,6.78,2739
2023-03-14 14:00:00,6.825,6.825,6.81,6.81,303
2023-03-14 13:45:00,6.84,6.84,6.83,6.83,952
2023-03-14 13:15:00,6.8589,6.8589,6.8589,6.8589,370
2023-03-14 13:00:00,6.82,6.82,6.8,6.82,2851
2023-03-14 12:45:00,6.84,6.87,6.8,6.82,785
2023-03-14 12:30:00,6.9,6.9,6.9,6.9,100
2023-03-14 12:00:00,6.87,6.87,6.87,6.87,200
2023-03-14 11:45:00,6.84,6.89,6.84,6.89,3030
2023-03-14 11:30:00,6.97,6.97,6.96,6.96,200
2023-03-14 11:15:00,6.965,6.965,6.965,6.965,150
2023-03-14 11:00:00,6.89,6.89,6.86,6.86,355
2023-03-14 10:45:00,7.02,7.02,7.0,7.0,1540
2023-03-14 10:30:00,6.96,7.075,6.84,7.075,1300
2023-03-14 10:15:00,6.93,7.02,6.93,7.02,1120
2023-03-14 10:00:00,6.75,6.93,6.718,6.93,5897
2023-03-14 09:45:00,6.58,6.76,6.55,6.76,9354
2023-03-13 16:00:00,6.465,6.47,6.44,6.46,2773
2023-03-13 15:45:00,6.48,6.48,6.465,6.465,599
2023-03-13 15:30:00,6.47,6.4799,6.47,6.4799,1077
2023-03-13 15:00:00,6.5,6.5,6.46,6.46,1202
2023-03-13 14:45:00,6.61,6.61,6.5,6.5,2351
2023-03-13 14:30:00,6.64,6.64,6.64,6.64,400
2023-03-13 14:15:00,6.5967,6.5967,6.5967,6.5967,1100
2023-03-13 14:00:00,6.4754,6.525,6.4754,6.525,2171
2023-03-13 13:45:00,6.45,6.5,6.437,6.48,7390
2023-03-13 13:30:00,6.4501,6.48,6.4501,6.4599,1611
2023-03-13 13:15:00,6.41,6.47,6.405,6.47,5984
2023-03-13 13:00:00,6.405,6.405,6.4,6.4,810
2023-03-13 12:45:00,6.385,6.405,6.385,6.405,1142
2023-03-13 12:30:00,6.4101,6.4101,6.39,6.39,1670
2023-03-13 12:15:00,6.4582,6.4582,6.41,6.4407,1700
2023-03-13 12:00:00,6.52,6.529,6.52,6.529,773
2023-03-13 11:45:00,6.6,6.6,6.5514,6.5514,3347
2023-03-13 11:30:00,6.63,6.63,6.63,6.63,392
2023-03-13 10:00:00,6.88,6.88,6.82,6.82,1138
2023-03-13 09:45:00,6.89,7.095,6.8201,6.8201,5354
2023-03-10 16:00:00,6.91,6.92,6.82,6.92,18344
2023-03-10 15:30:00,6.77,6.82,6.77,6.82,5058
2023-03-10 15:15:00,6.76,6.76,6.76,6.76,171
2023-03-10 15:00:00,6.83,6.83,6.83,6.83,101
2023-03-10 14:15:00,6.85,6.8599,6.85,6.8599,410
2023-03-10 13:45:00,6.86,6.88,6.85,6.88,3416
2023-03-10 13:30:00,6.91,6.91,6.9,6.9,877
2023-03-10 13:15:00,6.93,6.95,6.93,6.95,200
2023-03-10 12:45:00,6.92,6.93,6.91,6.91,2000
2023-03-10 12:30:00,7.0,7.0,6.9392,6.9392,1915
2023-03-10 12:15:00,7.075,7.09,7.01,7.02,6568
2023-03-10 12:00:00,7.32,7.32,7.32,7.32,100
2023-03-10 11:15:00,7.2599,7.2599,7.2599,7.2599,500
2023-03-10 11:00:00,7.2099,7.2099,7.2099,7.2099,300
2023-03-10 10:45:00,7.16,7.16,7.06,7.07,6169
2023-03-10 10:15:00,7.17,7.17,7.1699,7.1699,390
2023-03-10 10:00:00,7.11,7.16,7.11,7.13,1712
2023-03-10 09:45:00,7.14,7.17,7.12,7.12,14968
2023-03-09 16:00:00,7.25,7.2999,7.22,7.25,7182
2023-03-09 15:45:00,7.2464,7.2464,7.2464,7.2464,100
2023-03-09 15:15:00,7.2231,7.2231,7.2231,7.2231,500
2023-03-09 15:00:00,7.24,7.24,7.2,7.2199,4285
2023-03-09 14:00:00,7.2633,7.2633,7.2633,7.2633,100
2023-03-09 13:30:00,7.3,7.305,7.28,7.28,5843
2023-03-09 13:15:00,7.31,7.31,7.305,7.305,1301
2023-03-09 13:00:00,7.31,7.31,7.3,7.3,2646
2023-03-09 12:30:00,7.32,7.32,7.3,7.31,2678
2023-03-09 12:15:00,7.36,7.36,7.36,7.36,1080
2023-03-09 12:00:00,7.36,7.36,7.36,7.36,300
2023-03-09 11:45:00,7.36,7.36,7.36,7.36,100
2023-03-09 10:45:00,7.39,7.41,7.39,7.41,500
2023-03-09 10:30:00,7.38,7.39,7.38,7.39,310
2023-03-09 09:45:00,7.47,7.5,7.46,7.48,2480
2023-03-08 16:00:00,7.5,7.5,7.5,7.5,917
2023-03-08 15:30:00,7.5,7.5,7.5,7.5,100
2023-03-08 15:15:00,7.49,7.49,7.482,7.482,375
2023-03-08 15:00:00,7.4601,7.5,7.4601,7.5,2400
2023-03-08 14:15:00,7.4661,7.5,7.4661,7.5,300
2023-03-08 13:45:00,7.5,7.5,7.5,7.5,5354
2023-03-08 13:30:00,7.5,7.5,7.5,7.5,1576
2023-03-08 12:45:00,7.5583,7.5583,7.5583,7.5583,1047
2023-03-08 12:30:00,7.54,7.54,7.54,7.54,300
2023-03-08 12:15:00,7.55,7.55,7.55,7.55,680
2023-03-08 11:45:00,7.55,7.55,7.55,7.55,105
2023-03-08 11:15:00,7.55,7.55,7.55,7.55,150
2023-03-08 10:45:00,7.55,7.55,7.55,7.55,115
2023-03-08 10:30:00,7.56,7.56,7.56,7.56,105
2023-03-08 10:15:00,7.55,7.55,7.55,7.55,105
2023-03-08 09:45:00,7.54,7.54,7.54,7.54,119
2023-03-07 16:00:00,7.565,7.58,7.55,7.55,1306
2023-03-07 15:30:00,7.56,7.56,7.5421,7.5421,1117
2023-03-07 15:15:00,7.565,7.565,7.56,7.56,1335
2023-03-07 14:15:00,7.5609,7.5609,7.5609,7.5609,140
2023-03-07 13:30:00,7.61,7.61,7.6,7.6,619
2023-03-07 11:15:00,7.65,7.6693,7.65,7.6693,207
2023-03-07 11:00:00,7.66,7.66,7.66,7.66,100
2023-03-07 10:45:00,7.66,7.66,7.66,7.66,300
2023-03-07 10:30:00,7.71,7.71,7.66,7.66,1168
2023-03-07 10:15:00,7.7,7.71,7.7,7.71,200
2023-03-07 10:00:00,7.69,7.69,7.69,7.69,210
2023-03-07 09:45:00,7.69,7.69,7.69,7.69,228
2023-03-06 16:00:00,7.69,7.7,7.69,7.695,2798
2023-03-06 15:15:00,7.687,7.687,7.687,7.687,100
2023-03-06 15:00:00,7.68,7.68,7.68,7.68,120
2023-03-06 14:15:00,7.695,7.695,7.69,7.69,488
2023-03-06 14:00:00,7.72,7.72,7.71,7.71,1292
2023-03-06 13:30:00,7.73,7.73,7.73,7.73,411
2023-03-06 12:30:00,7.7,7.7,7.7,7.7,100
2023-03-06 11:45:00,7.73,7.73,7.73,7.73,200
2023-03-06 11:30:00,7.73,7.73,7.73,7.73,158
2023-03-06 11:15:00,7.73,7.73,7.69,7.71,5111
2023-03-06 11:00:00,7.735,7.74,7.735,7.74,2884
2023-03-06 10:30:00,7.7453,7.7453,7.73,7.73,6255
2023-03-06 10:00:00,7.76,7.81,7.74,7.74,2681
2023-03-06 09:45:00,7.76,7.76,7.75,7.75,3161
2023-03-03 16:00:00,7.78,7.78,7.74,7.74,803
2023-03-03 15:30:00,7.74,7.7666,7.71,7.71,4891
2023-03-03 15:15:00,7.765,7.78,7.765,7.78,520
2023-03-03 15:00:00,7.7668,7.775,7.75,7.765,2060
2023-03-03 14:45:00,7.75,7.8,7.75,7.75,771
2023-03-03 12:45:00,7.75,7.75,7.75,7.75,1000
2023-03-03 12:30:00,7.75,7.75,7.75,7.75,1125
2023-03-03 12:15:00,7.699,7.75,7.699,7.75,1112
2023-03-03 11:45:00,7.74,7.74,7.74,7.74,100
2023-03-02 16:00:00,7.73,7.73,7.7,7.73,2391
2023-03-02 15:45:00,7.71,7.72,7.71,7.71,1911
2023-03-02 15:30:00,7.67,7.73,7.67,7.71,5673
2023-03-02 15:15:00,7.67,7.67,7.6699,7.6699,472
2023-03-02 15:00:00,7.66,7.67,7.64,7.64,677
2023-03-02 14:30:00,7.64,7.64,7.64,7.64,126
2023-03-02 13:45:00,7.65,7.65,7.65,7.65,100
2023-03-02 13:30:00,7.65,7.65,7.65,7.65,100
2023-03-02 13:00:00,7.645,7.645,7.645,7.645,200
2023-03-02 12:45:00,7.65,7.65,7.65,7.65,335
2023-03-02 12:30:00,7.65,7.65,7.65,7.65,705
2023-03-02 12:15:00,7.6532,7.665,7.65,7.65,2892
2023-03-02 12:00:00,7.64,7.67,7.64,7.67,300
2023-03-02 11:30:00,7.6699,7.6699,7.6699,7.6699,200
2023-03-02 11:15:00,7.64,7.66,7.64,7.66,385
2023-03-02 11:00:00,7.63,7.645,7.63,7.64,2227
2023-03-02 10:45:00,7.64,7.64,7.64,7.64,1734
2023-03-02 10:30:00,7.65,7.65,7.64,7.64,630
2023-03-02 10:15:00,7.67,7.67,7.65,7.65,746
2023-03-02 10:00:00,7.73,7.73,7.71,7.71,525
2023-03-02 09:45:00,7.73,7.73,7.66,7.67,2826
2023-03-01 16:00:00,7.73,7.73,7.67,7.67,1637
2023-03-01 15:45:00,7.7,7.72,7.6766,7.71,1349
2023-03-01 15:30:00,7.64,7.69,7.64,7.69,2330
2023-03-01 15:15:00,7.64,7.68,7.64,7.68,597
2023-03-01 15:00:00,7.62,7.62,7.62,7.62,220
2023-03-01 14:45:00,7.625,7.64,7.61,7.64,518
2023-03-01 14:30:00,7.65,7.65,7.63,7.63,2322
2023-03-01 14:15:00,7.65,7.65,7.65,7.65,400
2023-03-01 14:00:00,7.65,7.65,7.64,7.65,911
2023-03-01 13:45:00,7.64,7.67,7.63,7.655,2755
2023-03-01 13:30:00,7.64,7.64,7.6343,7.6343,910
2023-03-01 13:15:00,7.6498,7.6498,7.6498,7.6498,127
2023-03-01 13:00:00,7.64,7.64,7.64,7.64,620
2023-03-01 12:45:00,7.6653,7.675,7.66,7.66,2343
2023-03-01 12:15:00,7.65,7.69,7.65,7.69,1238
2023-03-01 10:30:00,7.74,7.74,7.734,7.734,1212
2023-03-01 09:45:00,7.6766,7.6766,7.6766,7.6766,1000
2023-02-28 16:00:00,7.765,7.765,7.7,7.7,2834
2023-02-28 15:45:00,7.75,7.75,7.75,7.75,100
2023-02-28 15:30:00,7.76,7.76,7.76,7.76,400
2023-02-28 15:15:00,7.75,7.75,7.75,7.75,892
2023-02-28 15:00:00,7.75,7.76,7.75,7.75,1185
2023-02-28 14:45:00,7.76,7.76,7.75,7.76,598
2023-02-28 14:30:00,7.75,7.76,7.75,7.76,467
2023-02-28 14:15:00,7.7807,7.7807,7.75,7.75,1898
2023-02-28 14:00:00,7.77,7.775,7.75,7.775,923
2023-02-28 13:45:00,7.75,7.77,7.75,7.77,514
2023-02-28 13:30:00,7.75,7.775,7.75,7.77,1054
2023-02-28 13:15:00,7.75,7.785,7.75,7.785,962
2023-02-28 13:00:00,7.755,7.785,7.75,7.785,700
2023-02-28 12:45:00,7.75,7.75,7.75,7.75,484
2023-02-28 12:30:00,7.755,7.76,7.75,7.75,2802
2023-02-28 12:15:00,7.755,7.755,7.755,7.755,700
2023-02-28 12:00:00,7.7501,7.79,7.73,7.77,24089
2023-02-28 11:45:00,7.81,7.81,7.76,7.76,1826
2023-02-28 11:30:00,7.79,7.79,7.78,7.78,1197
2023-02-28 11:15:00,7.8,7.815,7.78,7.78,1589
2023-02-28 11:00:00,7.81,7.81,7.81,7.81,210
2023-02-28 10:45:00,7.82,7.83,7.81,7.81,1134
2023-02-28 10:30:00,7.78,7.835,7.78,7.82,2168
2023-02-28 10:15:00,7.79,7.835,7.79,7.79,2020
2023-02-28 10:00:00,7.78,7.83,7.78,7.83,1474
2023-02-28 09:45:00,7.78,7.8,7.78,7.79,4063
2023-02-27 16:00:00,7.8,7.81,7.78,7.81,2095
2023-02-27 15:45:00,7.8,7.87,7.75,7.75,90344
2023-02-27 15:30:00,7.8,7.8,7.8,7.8,500
2023-02-27 15:15:00,7.78,7.8,7.78,7.8,500
2023-02-27 15:00:00,7.7866,7.787,7.78,7.787,900
2023-02-27 14:45:00,7.765,7.8,7.765,7.78,1600
2023-02-27 14:30:00,7.785,7.785,7.75,7.77,6234
2023-02-27 14:15:00,7.8,7.8,7.785,7.785,800
2023-02-27 14:00:00,7.78,7.78,7.78,7.78,364
2023-02-27 13:45:00,7.78,7.78,7.78,7.78,501
2023-02-27 13:30:00,7.78,7.8,7.78,7.8,820
2023-02-27 13:15:00,7.78,7.78,7.78,7.78,400
2023-02-27 13:00:00,7.76,7.78,7.76,7.78,324
2023-02-27 12:15:00,7.81,7.81,7.76,7.76,7137
2023-02-27 12:00:00,7.8,7.81,7.79,7.79,1000
2023-02-27 11:45:00,7.84,7.84,7.84,7.84,200
2023-02-27 11:15:00,7.8,7.8328,7.8,7.8328,571
2023-02-27 11:00:00,7.78,7.78,7.78,7.78,301
2023-02-27 10:30:00,7.7977,7.7977,7.78,7.78,214
2023-02-27 10:15:00,7.8,7.8,7.8,7.8,100
2023-02-27 10:00:00,7.82,7.821,7.8,7.8,471
2023-02-27 09:45:00,7.7,7.97,7.7,7.895,3228
