time,open,high,low,close,volume
2023-03-27 16:00:00,8.59,8.68,8.59,8.68,1033
2023-03-27 15:30:00,8.6192,8.67,8.6,8.67,1057
2023-03-27 13:45:00,8.4333,8.4333,8.4333,8.4333,540
2023-03-27 13:30:00,8.57,8.57,8.57,8.57,293
2023-03-27 13:15:00,8.57,8.57,8.57,8.57,132
2023-03-27 12:15:00,8.62,8.62,8.62,8.62,401
2023-03-27 11:30:00,8.58,8.66,8.58,8.66,785
2023-03-27 11:00:00,8.53,8.53,8.53,8.53,530
2023-03-27 10:00:00,8.49,8.49,8.49,8.49,1896
2023-03-27 09:45:00,8.5899,8.5899,8.46,8.46,625
2023-03-24 16:00:00,8.6899,8.6899,8.6899,8.6899,100
2023-03-24 15:45:00,8.64,8.64,8.64,8.64,250
2023-03-24 15:15:00,8.5499,8.5499,8.5499,8.5499,250
2023-03-24 14:30:00,8.4291,8.4291,8.4291,8.4291,120
2023-03-24 14:15:00,8.45,8.46,8.45,8.46,874
2023-03-24 13:45:00,8.44,8.44,8.44,8.44,212
2023-03-24 09:45:00,8.48,8.48,8.39,8.39,350
2023-03-23 16:00:00,8.38,8.65,8.38,8.65,990
2023-03-23 14:30:00,8.3801,8.4,8.3801,8.389,1700
2023-03-23 14:00:00,8.55,8.55,8.55,8.55,100
2023-03-23 13:45:00,8.5152,8.55,8.5152,8.55,3740
2023-03-23 11:45:00,8.565,8.565,8.565,8.565,577
2023-03-23 10:15:00,8.4696,8.4696,8.4696,8.4696,800
2023-03-22 16:00:00,8.69,8.7,8.69,8.7,552
2023-03-22 15:45:00,8.6,8.6,8.6,8.6,364
2023-03-22 15:30:00,8.67,8.67,8.64,8.64,2283
2023-03-22 12:30:00,8.65,8.74,8.65,8.74,1190
2023-03-22 12:00:00,8.62,8.65,8.61,8.65,459
2023-03-22 11:45:00,8.65,8.748,8.61,8.6352,2700
2023-03-22 11:30:00,8.62,8.62,8.61,8.61,330
2023-03-22 10:45:00,8.7799,8.7799,8.7799,8.7799,700
2023-03-22 10:15:00,8.7999,8.7999,8.58,8.7899,1579
2023-03-22 10:00:00,8.685,8.685,8.685,8.685,321
2023-03-21 16:00:00,8.58,8.58,8.58,8.58,221
2023-03-21 15:30:00,8.5401,8.5412,8.5401,8.5412,400
2023-03-21 15:15:00,8.5313,8.5313,8.5313,8.5313,200
2023-03-21 10:15:00,8.66,8.66,8.65,8.65,795
2023-03-21 10:00:00,8.6788,8.6788,8.6788,8.6788,150
2023-03-21 09:45:00,8.65,8.65,8.65,8.65,275
2023-03-20 16:00:00,8.575,8.575,8.56,8.56,872
2023-03-20 15:45:00,8.63,8.63,8.63,8.63,100
2023-03-20 15:30:00,8.64,8.65,8.64,8.65,200
2023-03-20 15:15:00,8.65,8.65,8.65,8.65,123
2023-03-20 14:45:00,8.67,8.67,8.67,8.67,100
2023-03-20 14:30:00,8.68,8.68,8.68,8.68,200
2023-03-20 14:00:00,8.41,8.52,8.41,8.52,1878
2023-03-20 13:00:00,8.49,8.5094,8.49,8.509,1506
2023-03-20 11:45:00,8.45,8.45,8.45,8.45,100
2023-03-20 11:30:00,8.5202,8.5202,8.5202,8.5202,111
2023-03-20 11:00:00,8.4402,8.4402,8.4402,8.4402,600
2023-03-20 10:15:00,8.3885,8.3885,8.38,8.38,510
2023-03-20 09:45:00,8.66,8.66,8.66,8.66,2500
2023-03-17 16:00:00,8.4,8.4,8.4,8.4,197
2023-03-17 14:45:00,8.41,8.41,8.37,8.37,1560
2023-03-17 14:00:00,8.43,8.43,8.43,8.43,200
2023-03-17 13:45:00,8.5,8.5,8.36,8.3715,5591
2023-03-17 12:00:00,8.39,8.6399,8.39,8.6399,4400
2023-03-17 11:15:00,8.6316,8.6316,8.6316,8.6316,100
2023-03-17 11:00:00,8.6899,8.6899,8.6899,8.6899,150
2023-03-16 16:00:00,8.63,8.63,8.61,8.61,2065
2023-03-16 15:45:00,8.62,8.685,8.62,8.685,1151
2023-03-16 15:30:00,8.635,8.635,8.635,8.635,100
2023-03-16 15:15:00,8.61,8.69,8.51,8.6899,3024
2023-03-16 15:00:00,8.6951,8.6951,8.64,8.64,2048
2023-03-16 14:45:00,8.66,8.66,8.65,8.65,210
2023-03-16 14:30:00,8.66,8.66,8.66,8.66,100
2023-03-16 14:15:00,8.66,8.7285,8.66,8.66,1200
2023-03-16 14:00:00,8.67,8.67,8.67,8.67,310
2023-03-16 13:45:00,8.67,8.67,8.67,8.67,200
2023-03-16 13:15:00,8.73,8.82,8.73,8.82,2809
