time,open,high,low,close,volume
2023-03-27 16:15:00,7.3,7.3,7.3,7.3,323
2023-03-27 16:00:00,7.34,7.34,7.27,7.295,37095
2023-03-27 15:45:00,7.32,7.33,7.295,7.33,6697
2023-03-27 15:30:00,7.33,7.34,7.31,7.32,10409
2023-03-27 15:15:00,7.31,7.34,7.31,7.33,13297
2023-03-27 15:00:00,7.275,7.3,7.26,7.3,6320
2023-03-27 14:45:00,7.265,7.29,7.265,7.28,4673
2023-03-27 14:30:00,7.275,7.31,7.17,7.26,21911
2023-03-27 14:15:00,7.24,7.27,7.24,7.27,3681
2023-03-27 14:00:00,7.3,7.3,7.24,7.26,3863
2023-03-27 13:45:00,7.29,7.29,7.24,7.29,7065
2023-03-27 13:30:00,7.29,7.31,7.28,7.29,3328
2023-03-27 13:15:00,7.3,7.31,7.28,7.3,3085
2023-03-27 13:00:00,7.27,7.29,7.25,7.28,6231
2023-03-27 12:45:00,7.29,7.295,7.27,7.27,7980
2023-03-27 12:30:00,7.27,7.33,7.27,7.33,4739
2023-03-27 12:15:00,7.355,7.355,7.28,7.28,2057
2023-03-27 12:00:00,7.39,7.39,7.31,7.34,6917
2023-03-27 11:45:00,7.3575,7.42,7.3575,7.4,26358
2023-03-27 11:30:00,7.49,7.49,7.36,7.39,4144
2023-03-27 11:15:00,7.5332,7.55,7.49,7.5,3504
2023-03-27 11:00:00,7.56,7.6,7.53,7.55,7402
2023-03-27 10:45:00,7.55,7.58,7.54,7.56,5491
2023-03-27 10:30:00,7.51,7.59,7.48,7.555,4268
2023-03-27 10:15:00,7.485,7.49,7.41,7.49,55060
2023-03-27 10:00:00,7.5,7.53,7.44,7.4601,6699
2023-03-27 09:45:00,7.48,7.69,7.32,7.5175,62335
2023-03-24 16:15:00,7.51,7.51,7.51,7.51,2121
2023-03-24 16:00:00,7.485,7.515,7.455,7.49,60777
2023-03-24 15:45:00,7.52,7.52,7.46,7.49,17674
2023-03-24 15:30:00,7.43,7.54,7.43,7.51,17491
2023-03-24 15:15:00,7.43,7.47,7.42,7.44,6325
2023-03-24 15:00:00,7.4,7.44,7.38,7.44,12416
2023-03-24 14:45:00,7.375,7.41,7.37,7.39,8677
2023-03-24 14:30:00,7.34,7.4,7.34,7.37,8623
2023-03-24 14:15:00,7.38,7.39,7.35,7.35,5126
2023-03-24 14:00:00,7.39,7.39,7.35,7.39,12356
2023-03-24 13:45:00,7.385,7.4,7.38,7.385,4692
2023-03-24 13:30:00,7.4,7.4,7.37,7.39,7571
2023-03-24 13:15:00,7.38,7.39,7.37,7.39,5244
2023-03-24 13:00:00,7.4,7.415,7.37,7.38,6674
2023-03-24 12:45:00,7.38,7.395,7.37,7.395,5692
2023-03-24 12:30:00,7.4,7.4059,7.37,7.38,4876
2023-03-24 12:15:00,7.41,7.41,7.37,7.39,9662
2023-03-24 12:00:00,7.31,7.41,7.31,7.41,15307
2023-03-24 11:45:00,7.315,7.34,7.28,7.3,14990
